Beds,Bath,Sqft,Price,Address,Province,Region
2.0,1.0,1002.0,170000.0,7933 Highway 1 Meteghan ,NS,Atlantic region
2.0,2.0,2380.0,279900.0,36 Harbourview Drive ,NS,Atlantic region
4.0,2.0,2337.0,399000.0,1579 Cole Harbour Road ,NS,Atlantic region
2.0,1.0,1754.0,319900.0,124 Main Street ,NS,Atlantic region
4.0,2.0,2336.0,329900.0,33 William Street ,NS,Atlantic region
5.0,2.0,3500.0,325000.0,88-90 Main Street ,NS,Atlantic region
3.0,2.0,1008.0,895000.0,6471 No. 19 Highway ,NS,Atlantic region
1.0,1.0,582.0,125000.0,488 Cedarwood Lake Road ,NS,Atlantic region
8.0,7.0,4648.0,850000.0,473 Upper River John Road ,NS,Atlantic region
4.0,4.0,2923.0,499000.0,115 Beverlys Hill Road ,NS,Atlantic region
2.0,1.0,730.0,350000.0,155 Ponhook Shore Road ,NS,Atlantic region
3.0,2.0,2252.0,229000.0,29 Empire Loop ,NS,Atlantic region
3.0,1.0,1250.0,299900.0,6663 Highway 3 ,NS,Atlantic region
4.0,2.0,2000.0,1500000.0,76 Grove Street ,NS,Atlantic region
4.0,3.0,1590.0,199900.0,2302 Hwy 1 ,NS,Atlantic region
1.0,2.0,971.0,184900.0,3729 Highway 3 ,NS,Atlantic region
2.0,1.0,980.0,169900.0,719 Cap la Ronde Road ,NS,Atlantic region
2.0,2.0,1650.0,599000.0,2774 Highway 331 ,NS,Atlantic region
3.0,2.0,1790.0,265000.0,9629 Highway 1 Lower Saulnierville ,NS,Atlantic region
5.0,7.0,4177.0,1150000.0,1212 Woodville ,NS,Atlantic region
1.0,2.0,1180.0,419900.0,579 Shore Rd ,NS,Atlantic region
3.0,3.0,1488.0,599900.0,8132 Highway 3 ,NS,Atlantic region
4.0,5.0,7601.0,1420000.0,250 East Berlin Road ,NS,Atlantic region
3.0,1.0,1022.0,110000.0,519 Highway 8 ,NS,Atlantic region
1.0,2.0,1148.0,585000.0,3735 West Bay Highway ,NS,Atlantic region
3.0,2.0,1881.0,274900.0,949 Sandy Point Road ,NS,Atlantic region
4.0,3.0,3200.0,285000.0,15 Lakeview Drive ,NS,Atlantic region
3.0,2.0,1307.0,199000.0,2434 Highway 334 ,NS,Atlantic region
3.0,1.0,1119.0,169900.0,412 Conrad Road ,NS,Atlantic region
2.0,2.0,804.0,309900.0,12 - 56 Meek Arm Trail Way ,NS,Atlantic region
2.0,1.0,900.0,249900.0,4371 Highway 357 ,NS,Atlantic region
5.0,1.0,2190.0,349900.0,6639 Upper Clyde Road ,NS,Atlantic region
3.0,2.0,1702.0,385000.0,53  Jovite Road Saulnierville Station ,NS,Atlantic region
5.0,3.0,4100.0,889000.0,7594 221 Highway ,NS,Atlantic region
4.0,1.0,2135.0,339000.0,12 Dalkeith Drive ,NS,Atlantic region
3.0,1.0,1235.0,129900.0,15 ROGERS Road ,NS,Atlantic region
4.0,1.0,1124.0,299000.0,3792 105 Highway ,NS,Atlantic region
4.0,2.0,1678.0,219900.0,2289 Patrice Road ,NS,Atlantic region
5.0,3.0,4584.0,1350000.0,100 McGinnis ,NS,Atlantic region
4.0,3.0,2457.0,449000.0,1649 Highway 10 ,NS,Atlantic region
3.0,1.0,1652.0,349900.0,46 Haughn's Road ,NS,Atlantic region
4.0,3.0,3300.0,1250000.0,7914 East Bay Highway ,NS,Atlantic region
5.0,2.0,2066.0,375000.0,112 Brooklyn Shore Road ,NS,Atlantic region
3.0,3.0,1839.0,750000.0,55 Lake Shore Drive ,NS,Atlantic region
3.0,2.0,1334.0,369900.0,53 Perry Crescent ,NS,Atlantic region
3.0,1.0,1224.0,139000.0,152 Cordova Street ,NS,Atlantic region
4.0,2.0,2470.0,699000.0,8 Fort Point Road ,NS,Atlantic region
1.0,1.0,1300.0,350000.0,Unit 5 - 11 Beach View Lane ,NS,Atlantic region
2.0,1.0,926.0,384500.0,2930 Malagash Road ,NS,Atlantic region
4.0,2.0,1938.0,199000.0,193 Shore Road ,NS,Atlantic region
5.0,2.0,2500.0,229000.0,1865 308 Highway ,NS,Atlantic region
5.0,1.0,1829.0,355000.0,1320  Highway 1 Church Point ,NS,Atlantic region
3.0,2.0,2452.0,529900.0,19 Bobolink St ,NS,Atlantic region
4.0,2.0,2100.0,429000.0,5429 Granville road ,NS,Atlantic region
3.0,1.0,1488.0,335000.0,1037 East Uniacke Road ,NS,Atlantic region
4.0,3.0,2706.0,799000.0,"8 Sailboat Lane, Halifax, NS. B4A 3Z5 ",NS,Atlantic region
2.0,2.0,1190.0,179900.0,1235 Highway 335 ,NS,Atlantic region
3.0,3.0,4500.0,579000.0,204 Highway 1 Dayton ,NS,Atlantic region
3.0,2.0,1700.0,249000.0,346 MacCormack Road ,NS,Atlantic region
3.0,2.0,1535.0,399900.0,389 Deep Brook Highway 1 ,NS,Atlantic region
2.0,1.0,672.0,330000.0,0 0 Cole Harbour Village Road ,NS,Atlantic region
3.0,1.0,1247.0,285000.0,"3245 2nd Division Road, Concession ",NS,Atlantic region
5.0,1.0,1336.0,159000.0,478 Shore Road ,NS,Atlantic region
2.0,2.0,1750.0,460000.0,4 Hardwood Hill Lane ,NS,Atlantic region
2.0,1.0,1050.0,225000.0,59 Georges Road ,NS,Atlantic region
3.0,3.0,3129.0,980000.0,86 Freddies Lane ,NS,Atlantic region
5.0,2.0,2200.0,659000.0,476 Canoe Island Road ,NS,Atlantic region
6.0,5.0,4012.0,495000.0,147 Highway 8 ,NS,Atlantic region
3.0,1.0,2760.0,425000.0,26 Main Street ,NS,Atlantic region
4.0,3.0,2052.0,375000.0,1166 Chebogue Road ,NS,Atlantic region
2.0,1.0,826.0,169000.0,121 Mount Pleasant Road ,NS,Atlantic region
6.0,4.0,3040.0,475000.0,69/69A Celtic Drive ,NS,Atlantic region
4.0,1.0,1736.0,239000.0,176 School Street ,NS,Atlantic region
3.0,1.0,2323.0,123000.0,14226 Highway 4 ,NS,Atlantic region
6.0,6.0,4500.0,999900.0,197 Baseline Road ,NS,Atlantic region
3.0,4.0,4900.0,1485000.0,1852 Gospel Road ,NS,Atlantic region
4.0,6.0,6790.0,3795000.0,137 Gannet Lane ,NS,Atlantic region
1.0,1.0,1084.0,149000.0,1336 HIGHWAY 308 ,NS,Atlantic region
3.0,4.0,2906.0,449900.0,1180 Saunders Road ,NS,Atlantic region
4.0,3.0,4036.0,679000.0,4230 Marble Mountain Road ,NS,Atlantic region
4.0,3.0,2654.0,563000.0,8981 Highway 331 ,NS,Atlantic region
2.0,1.0,875.0,185000.0,10282 Highway 201 ,NS,Atlantic region
6.0,2.0,2569.0,450000.0,180 C Boudreau Road ,NS,Atlantic region
3.0,4.0,1518.0,449000.0,7 Black Cherry Lane ,NS,Atlantic region
1.0,1.0,1247.0,235000.0,160 Henry Hensey Drive ,NS,Atlantic region
3.0,2.0,1708.0,227900.0,272 Main Street ,NS,Atlantic region
2.0,1.0,675.0,99900.0,5 Hillside Drive ,NS,Atlantic region
2.0,2.0,1004.0,169900.0,22 Brook Avenue ,NS,Atlantic region
4.0,1.0,1200.0,149900.0,11 Lake Darling Road ,NS,Atlantic region
5.0,3.0,3362.0,853000.0,122 Peter Sosna Drive ,NS,Atlantic region
3.0,2.0,2540.0,699000.0,7385 Highway 3 ,NS,Atlantic region
3.0,2.0,1617.0,379000.0,15 School Street ,NS,Atlantic region
2.0,1.0,850.0,169900.0,22 Winston Avenue ,NS,Atlantic region
3.0,2.0,3482.0,1250000.0,6 Narrows Lane ,NS,Atlantic region
4.0,2.0,2016.0,439900.0,502 Willow Street ,NS,Atlantic region
6.0,5.0,,495000.0,147 Hwy 8 ,NS,Atlantic region
4.0,1.0,1560.0,269900.0,14 Lewis Lane ,NS,Atlantic region
3.0,2.0,2716.0,749000.0,4459 Shore Road ,NS,Atlantic region
3.0,2.0,1608.0,350000.0,1843 Highway 1 Church Point ,NS,Atlantic region
2.0,1.0,1144.0,249900.0,2369 Highway 1 Grosses Coques ,NS,Atlantic region
3.0,1.0,1232.0,295000.0,119 Courthouse Road ,NS,Atlantic region
3.0,2.0,1512.0,375000.0,1167 Brooklyn Shore Road ,NS,Atlantic region
4.0,2.0,1928.0,219000.0,7574 Main Street ,NS,Atlantic region
3.0,1.0,1073.0,199000.0,31 College Street ,NS,Atlantic region
6.0,3.0,3417.0,539850.0,1086 Marie Crescent ,NS,Atlantic region
3.0,1.0,1100.0,177000.0,56 St Andrews Street ,NS,Atlantic region
2.0,1.0,600.0,249900.0,44 Old Black River Road ,NS,Atlantic region
4.0,1.0,1691.0,249000.0,234 Boudreauville Road ,NS,Atlantic region
3.0,3.0,2400.0,1300000.0,72 Everetts Way ,NS,Atlantic region
2.0,2.0,2436.0,389000.0,9012 Pepperell Street ,NS,Atlantic region
4.0,3.0,2670.0,799900.0,11 Angel Court ,NS,Atlantic region
4.0,3.0,2400.0,1390000.0,697 Belmont Road ,NS,Atlantic region
3.0,2.0,2367.0,419000.0,162 Granite Cove Drive ,NS,Atlantic region
4.0,2.0,2040.0,449000.0,15 Academy Street ,NS,Atlantic region
4.0,3.0,2390.0,499900.0,64 Ketchum Drive ,NS,Atlantic region
3.0,1.0,1025.0,184000.0,2081 Highway 308 ,NS,Atlantic region
4.0,3.0,4088.0,1999900.0,4 Fiddlehead Way ,NS,Atlantic region
3.0,2.0,1224.0,139000.0,115 Cordova Street ,NS,Atlantic region
4.0,3.0,2350.0,500000.0,561 Portland Hills Drive ,NS,Atlantic region
3.0,2.0,1920.0,219000.0,3 Park Place ,NS,Atlantic region
3.0,3.0,2824.0,618000.0,911 LAKESIDE Road ,NS,Atlantic region
3.0,2.0,1100.0,129900.0,"1907 Highway 247, L'Ardoise ",NS,Atlantic region
3.0,2.0,1524.0,169000.0,505 320 Highway ,NS,Atlantic region
6.0,1.0,2600.0,495000.0,3456 Highway 1 ,NS,Atlantic region
4.0,2.0,1968.0,189900.0,1461 206 Highway ,NS,Atlantic region
3.0,1.0,1152.0,198500.0,98 Lakeside Drive ,NS,Atlantic region
3.0,1.0,1200.0,299900.0,493 Hamilton Road ,NS,Atlantic region
3.0,2.0,2073.0,699000.0,1652 MAPLE RIDGE Road ,NS,Atlantic region
3.0,2.0,1214.0,199000.0,7667 Highway 331 ,NS,Atlantic region
1.0,2.0,2100.0,190000.0,1870 Clementsvale Road ,NS,Atlantic region
3.0,1.0,2375.0,419000.0,65 Session Street ,NS,Atlantic region
2.0,3.0,1715.0,319000.0,127 Pinky Creek Road ,NS,Atlantic region
3.0,1.0,1248.0,179900.0,714 Lower Cove Road ,NS,Atlantic region
4.0,3.0,2710.0,849900.0,35 Angel Court ,NS,Atlantic region
4.0,2.0,2652.0,269900.0,4 Gilroy Street ,NS,Atlantic region
4.0,2.0,2642.0,299900.0,484 Main Street ,NS,Atlantic region
1.0,1.0,445.0,79500.0,127 Cove Road ,NS,Atlantic region
3.0,2.0,1300.0,525000.0,78 Cranberry Head Road ,NS,Atlantic region
3.0,1.0,1448.0,114900.0,54 Laplanche Street ,NS,Atlantic region
5.0,4.0,4400.0,599000.0,643 ST George Street ,NS,Atlantic region
5.0,4.0,2360.0,239000.0,603 Church Street ,NS,Atlantic region
4.0,2.0,1800.0,359900.0,4 Vaughne Court ,NS,Atlantic region
5.0,2.0,2610.0,495000.0,186 Clearway Street ,NS,Atlantic region
3.0,1.0,869.0,89900.0,124 Chemin De La Pointe ,NS,Atlantic region
3.0,1.0,1100.0,249900.0,1515 Highway 304 ,NS,Atlantic region
3.0,1.0,1428.0,344900.0,49 Katrina Crescent ,NS,Atlantic region
5.0,2.0,2471.0,249900.0,39 Regent Street ,NS,Atlantic region
3.0,1.0,1566.0,279000.0,32 Union Street ,NS,Atlantic region
3.0,1.0,936.0,89500.0,1709 247 Highway ,NS,Atlantic region
3.0,1.0,1848.0,299000.0,"351 Peter Dugas Road, Meteghan ",NS,Atlantic region
2.0,1.0,948.0,314900.0,12-60 Meek Arm Trail 12-60,NS,Atlantic region
3.0,1.0,1041.0,175000.0,7048 Highway 3 ,NS,Atlantic region
3.0,2.0,2692.0,675900.0,465 Saunders Road ,NS,Atlantic region
3.0,2.0,1400.0,264000.0,210 Highway 1 ,NS,Atlantic region
2.0,2.0,1240.0,799900.0,555 Green Bay Road ,NS,Atlantic region
4.0,3.0,5700.0,429000.0,75 Terra Nova Road ,NS,Atlantic region
3.0,1.0,2400.0,329000.0,83 Terra Nova Road ,NS,Atlantic region
5.0,7.0,4177.0,1150000.0,1212 Woodville Road ,NS,Atlantic region
4.0,2.0,1600.0,339000.0,8810 HIGHWAY 105 Road ,NS,Atlantic region
3.0,1.0,1760.0,649000.0,16 Summit St. ,NS,Atlantic region
3.0,2.0,2660.0,610000.0,5888 Highway 331 ,NS,Atlantic region
2.0,1.0,1370.0,189000.0,5017 No 1 Highway ,NS,Atlantic region
2.0,2.0,896.0,84900.0,15 Shady Lane ,NS,Atlantic region
3.0,2.0,2042.0,799000.0,Big Glode Island ,NS,Atlantic region
3.0,3.0,1800.0,329000.0,16015 Cabot Trail ,NS,Atlantic region
3.0,2.0,1080.0,367885.0,54 Heritage Way 54,NS,Atlantic region
2.0,2.0,922.0,159000.0,22 Mann Avenue ,NS,Atlantic region
4.0,2.0,1847.0,329000.0,38 Nichols Avenue ,NS,Atlantic region
3.0,2.0,1450.0,259000.0,7 Cooks Road ,NS,Atlantic region
3.0,2.0,1316.0,259000.0,98 Craigs Road ,NS,Atlantic region
3.0,3.0,2049.0,480000.0,847 Baddeck Bay Road ,NS,Atlantic region
5.0,3.0,1960.0,169000.0,2135 Highway 247 ,NS,Atlantic region
4.0,7.0,7252.0,1599900.0,3223 HWY 376 ,NS,Atlantic region
5.0,4.0,5102.0,649900.0,36 Duckling Dell ,NS,Atlantic region
4.0,1.0,1546.0,209000.0,8376 Hwy 1 ,NS,Atlantic region
3.0,1.0,1150.0,175000.0,1514 Eastern Shore Road ,NS,Atlantic region
3.0,2.0,2401.0,430000.0,3 Sylvia Avenue ,NS,Atlantic region
3.0,2.0,1872.0,595000.0,9228 Marble Mountain Road ,NS,Atlantic region
3.0,2.0,2010.0,1575000.0,2969 Highway 1 ,NS,Atlantic region
3.0,2.0,2506.0,269000.0,10 Porter Street ,NS,Atlantic region
3.0,1.0,1200.0,119900.0,3526 Highway 203 ,NS,Atlantic region
1.0,1.0,400.0,49500.0,44 Golden River Road ,NS,Atlantic region
3.0,3.0,2400.0,1300000.0,72 Everett's Way ,NS,Atlantic region
4.0,3.0,3451.0,829000.0,65 Howe Street ,NS,Atlantic region
2.0,1.0,948.0,168000.0,3585 Malagash Rd ,NS,Atlantic region
3.0,3.0,1980.0,524800.0,139 Prince Albert Road ,NS,Atlantic region
4.0,2.0,1708.0,299000.0,10 Grant Road ,NS,Atlantic region
2.0,1.0,725.0,159000.0,145 Lewiston Road ,NS,Atlantic region
3.0,2.0,1590.0,599900.0,329 Augsburger Street ,NS,Atlantic region
2.0,1.0,1300.0,259000.0,1323 Black River Road ,NS,Atlantic region
2.0,1.0,1070.0,950000.0,284 Millers Road ,NS,Atlantic region
3.0,2.0,1280.0,269000.0,96 Session Street ,NS,Atlantic region
3.0,1.0,1778.0,399000.0,1422 Highway 335 ,NS,Atlantic region
2.0,2.0,1387.0,439000.0,Lot 1 10525 Highway 7 ,NS,Atlantic region
3.0,1.0,924.0,79900.0,13050 104 Highway ,NS,Atlantic region
6.0,5.0,3604.0,595000.0,677 Bangor Road ,NS,Atlantic region
3.0,2.0,1408.0,379900.0,28 Ridge Avenue ,NS,Atlantic region
4.0,2.0,2649.0,799000.0,3928 201 Highway ,NS,Atlantic region
4.0,3.0,2430.0,449900.0,65 Pearl Drive ,NS,Atlantic region
2.0,1.0,1013.0,169900.0,3093 Hwy 12 ,NS,Atlantic region
2.0,2.0,2100.0,629500.0,2 Westridge Road ,NS,Atlantic region
3.0,2.0,2412.0,699000.0,1396 Merland  Road ,NS,Atlantic region
3.0,1.0,864.0,189500.0,665 Lower River Road ,NS,Atlantic region
3.0,1.0,1211.0,259000.0,Lot A 19194 Highway 7 Lot A,NS,Atlantic region
4.0,1.0,1160.0,79700.0,2108 Hwy. #247 ,NS,Atlantic region
4.0,3.0,2102.0,475000.0,3393 Main Shore Road ,NS,Atlantic region
3.0,3.0,2600.0,725000.0,10 B Deer Haven Drive ,NS,Atlantic region
3.0,2.0,1704.0,210000.0,67 Milton Street ,NS,Atlantic region
4.0,4.0,2048.0,750000.0,94 Clearland Road ,NS,Atlantic region
2.0,2.0,800.0,199900.0,106 Cochrane Road ,NS,Atlantic region
2.0,1.0,720.0,290000.0,53 Fargher Lane ,NS,Atlantic region
4.0,1.0,2464.0,299900.0,789 Old Port Mouton Road ,NS,Atlantic region
8.0,3.0,6181.0,2250000.0,6635 JUBILEE Road ,NS,Atlantic region
3.0,2.0,1525.0,329900.0,154 Highway 334 ,NS,Atlantic region
4.0,1.0,1280.0,110000.0,"367 Marc Comeau Road, St Benoni ",NS,Atlantic region
2.0,1.0,832.0,334900.0,12-66 Meek Arm Way 12-66,NS,Atlantic region
5.0,2.0,3860.0,549000.0,5009 HWY 1 ,NS,Atlantic region
5.0,3.0,3426.0,850000.0,274 Harrington Road ,NS,Atlantic region
2.0,1.0,711.0,330900.0,36 Goose View Drive ,NS,Atlantic region
5.0,2.0,1732.0,699000.0,160 Doris Lane ,NS,Atlantic region
4.0,2.0,1341.0,259900.0,31 Chestnut Street ,NS,Atlantic region
4.0,2.0,1200.0,194900.0,1443 Highway 1 ,NS,Atlantic region
3.0,2.0,2412.0,699000.0,1396 Merland Road RR #1 ,NS,Atlantic region
2.0,1.0,915.0,195000.0,6523 16 Highway ,NS,Atlantic region
3.0,3.0,3600.0,799900.0,349 Hemlock Loop ,NS,Atlantic region
6.0,2.0,2664.0,289900.0,66 242 Highway ,NS,Atlantic region
2.0,2.0,2380.0,279900.0,"36 Harbourview Drive, Port Bickerton ",NS,Atlantic region
4.0,3.0,1935.0,425000.0,45 Chemin A Ben Road ,NS,Atlantic region
1.0,1.0,468.0,148000.0,43 Belliveau Lake Estates Road ,NS,Atlantic region
2.0,1.0,690.0,174900.0,9 Penny Avenue ,NS,Atlantic region
7.0,10.0,5880.0,599000.0,4 TUPPER Court ,NS,Atlantic region
4.0,3.0,3750.0,819900.0,1007 Highway 331 ,NS,Atlantic region
3.0,2.0,1812.0,409000.0,3684 Highway 331 ,NS,Atlantic region
3.0,3.0,1456.0,359000.0,1599 Lake Road ,NS,Atlantic region
2.0,2.0,2212.0,359000.0,3422 HIGHWAY 331 ,NS,Atlantic region
3.0,1.0,1696.0,199500.0,3237 Highway 325 ,NS,Atlantic region
3.0,1.0,1211.0,259000.0,"19194 Highway 7, spry Harbour ",NS,Atlantic region
2.0,2.0,864.0,369900.0,6-70 Grandview 6-70,NS,Atlantic region
4.0,4.0,3412.0,699900.0,157 Lakeridge Crescent ,NS,Atlantic region
3.0,1.0,1134.0,220000.0,2510 Highway 1 Grosses Coques ,NS,Atlantic region
3.0,1.0,1720.0,229900.0,222 Victoria Street E ,NS,Atlantic region
4.0,1.0,592.0,275000.0,36 CJA Road ,NS,Atlantic region
4.0,1.0,870.0,165000.0,727 C BOUDREAU Road ,NS,Atlantic region
2.0,2.0,1473.0,297000.0,10 Fraser Street ,NS,Atlantic region
3.0,2.0,2300.0,869000.0,5333 Granville Road ,NS,Atlantic region
3.0,1.0,1250.0,164900.0,701 Little Harbour Road ,NS,Atlantic region
3.0,4.0,2316.0,499900.0,111 ARMADA Drive ,NS,Atlantic region
3.0,3.0,3261.0,829000.0,24 Stockleigh Place ,NS,Atlantic region
3.0,2.0,1767.0,349900.0,148 Rufus Avenue ,NS,Atlantic region
3.0,3.0,2362.0,664900.0,164 Big Hubley Lake Drive ,NS,Atlantic region
6.0,2.0,2682.0,555000.0,1851 Dodge Road ,NS,Atlantic region
4.0,5.0,4453.0,1695000.0,324 Lincoln Street ,NS,Atlantic region
4.0,2.0,3098.0,639900.0,3738 High Street ,NS,Atlantic region
