Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,3,1252499,.067,Single,256900 CAD,501 YOUVILLE DR E NW 56
3,2,1110,0.16,Residential,220000 CAD,100 sunset Drive 
4,3,1126,0.17,Residential,220000 CAD,4524 46 Street 
5,3,1144,.159,Single,215000 CAD,4716 57  Avenue 
3,2,960,.097,Single,299900 CAD,29 Erickson Drive 
5,3,1101,.507,Single,266300 CAD,658 50A 
3,1,89987,.112,Single,300000 CAD,11535 ST ALBERT TR NW 
2,2,1157,.143,Single,294000 CAD,211 Canyon Boulevard W 
4,1,9865,.132,Single,229900 CAD,11408 96A Street 
3,3,1147,.138,Single,264900 CAD,9631 117 Avenue 
3,1,944,.126,Single,209900 CAD,8 Westrose Avenue 
4,2,1617399,.138,Single,290000 CAD,15945 109 AV NW NW 
3,3,10511,0.19,Residential,245800 CAD,16A Railway Avenue 
2,2,1139369,.091,Single,268999 CAD,11615 96 ST NW 
3,3,1285329,,Single,265000 CAD,103 ST 9816
5,3,1076,.143,Single,232900 CAD,5612 39 Street 
3,2,1319989,,Single,239900 CAD,13 ST 1106
3,3,1638,.185,Single,284900 CAD,10105 85 Avenue 
3,2,948524,.144,Single,282500 CAD,12714 126 ST NW 
3,2,907,.145,Single,289900 CAD,40 Doverglen Crescent SE 
1,1,1033,.171,Single,299900 CAD,4510 47 Street 
5,2,1056,0.21,Residential,239900 CAD,84 Spruce Avenue W 
3,2,96144,,Single,299900 CAD,18 Sturgeon RD 
5,3,182988,.139,Single,250000 CAD,39 undefined 3917
3,3,900,0.09,Single,279900 CAD,7505 115 Street 
3,2,93592,,Residential,219900 CAD,5117 53 Avenue 
4,2,1387,0.27,Residential,292000 CAD,11225 91 Street 
3,2,1330,,Residential,298900 CAD,4207-55 avenue 
,,,,Residential,250000 CAD,81 Alexandra Park 
3,2,1092,0.22,Residential,253000 CAD,10342 110 Avenue 
2,1,1074,,Residential,239900 CAD,1528 11 Ave SW 
4,2,909,0.11,Residential,209900 CAD,1802 6 Avenue N 
1,1,590,,Residential,209000 CAD,1111 6 Avenue SW 
4,3,1070,0.19,Residential,275000 CAD,11501 103 Street 
4,1,1068,,Residential,219900 CAD,5003-45th Street 
2,2,1370,,Residential,284000 CAD,280 Williamstown Close NW 
3,2,,,Residential,219000 CAD,4904-51ave 
4,2,1089,0.23,Residential,249000 CAD,5413 53 Street 
3,1,1484,0.15,Residential,227000 CAD,430 7 Street SE 
,,,,Residential,285000 CAD,4837 47ave 
4,2,1127,0.18,Residential,230000 CAD,11001 103 Street 
3,2,1173,,Residential,250000 CAD,5328-52nd Ave 
5,3,1288,,Residential,290000 CAD,5407-53rd Street 
6,,4899,,Residential,296000 CAD,5001 50 STREET 
3,2,959,0.14,Residential,292900 CAD,48 Meadowview Close 
2,2,1042,0.16,Residential,256900 CAD,8 Orchard Green 
1,2,706,0.26,Residential,209900 CAD,"352, 59328 Range Road 95 "
5,2,1050,,Residential,245000 CAD,4705 48 Street 
6,1,1267,,Residential,226000 CAD,1813 Forest Drive 
5,2,1045,,Residential,219900 CAD,5530 48 Street 
2,2,818,,Residential,274900 CAD,200 Brickyard Place 
3,2,1151,,Residential,225000 CAD,4907 46 Avenue 
4,2,1147,0.18,Residential,225000 CAD,10004 95 Avenue 
2,1,856,,Residential,205000 CAD,8810 Royal Birch Boulevard NW 
4,3,1568,0.21,Residential,295000 CAD,10013 84 Street 
4,3,1080,0.15,Residential,255000 CAD,8114 95 Street 
5,3,1960,0.16,Residential,279000 CAD,1726 St Andrew Road N 
3,1,1040,0.16,Residential,249000 CAD,9614 83 Avenue 
3,2,864,0.36,Residential,249900 CAD,10 Railway Avenue 
4,2,898,0.15,Residential,229900 CAD,5810 60 Street 
1,1,478,,Residential,298000 CAD,615 6 Avenue SE 
4,1,,45.1,Farm,279900 CAD,850028 Range Road 51 
3,2,1464,,Residential,259900 CAD,404 8 Street SE 
4,2,1130,0.15,Residential,274900 CAD,1117 5 Avenue W 
3,2,77005,,Residential,204999 CAD,5005 46 Avenue 
2,2,115798,,Residential,221500 CAD,5114 53 Street 
3,3,232298,,Residential,259900 CAD,4605 47 Ave 
4,2,912,,Residential,220000 CAD,4919-56 avenue Lamont Alberta 
3,1,1569,0.16,Residential,239900 CAD,463 9 Street SE 
4,2,986,0.15,Residential,229000 CAD,5309 50 Street 
3,2,1179,,Residential,249000 CAD,5219 55 Ave 
5,3,108296,,Residential,250000 CAD,5001 55 Avenue 
2,2,83701,,Residential,249000 CAD,10 Whitetail Cove 
3,1,1371,,Residential,289900 CAD,214 Prestwick Landing 
2,1,1048,,Residential,299900 CAD,2538 17 Ave SW 
3,2,10399,,Residential,219900 CAD,4921 46 Avenue 
4,2,1156,0.13,Residential,260000 CAD,10361 110 Avenue 
4,2,175193,4.82,Residential,259900 CAD,57024 Range Road 104 
3,1,985,,Residential,268900 CAD,465 Killarney Glen Court SW 
2,1,1080,,Residential,225000 CAD,9702 100 Street 
2,2,984,0.12,Residential,239500 CAD,1817 1a Avenue N 
,,,,Residential,255000 CAD,Township Road 322 Highway 760 
4,3,,,Residential,239900 CAD,1002 - 11 AV 
3,1,950,,Residential,249900 CAD,910 10 street 
4,2,1128,,Residential,259000 CAD,5910-52 street 
8,2,844,,Residential,279000 CAD,11247 95 Street NW 
2,1,884,,Residential,239900 CAD,"9930 103 Avenue, Plamondon, Alberta "
3,2,1278,,Residential,289900 CAD,#44 Island View Harbour 
4,2,959,,Residential,297500 CAD,3613 44 Avenue 
4,2,1490,2.24,Residential,245900 CAD,194002-Township Road 184 
4,2,1278,,Residential,269900 CAD,4814 - 50 Street 
4,3,1300,,Residential,212900 CAD,5012 50 St 
2,2,965,,Residential,288000 CAD,4944 8 Avenue SW #304 
5,3,1176,0.14,Residential,279900 CAD,7205 100 Street 
4,1,960,,Residential,217700 CAD,4721 44 Ave 
3,2,1092,0.17,Residential,269900 CAD,9613 80 Avenue 
2,3,299398,,Residential,279900 CAD,4718 50 Avenue 
2,1,688,,Residential,259900 CAD,10523 123 St NW 
5,3,1211,0.11,Residential,299000 CAD,32 Princeton Road W 
3,2,100244,,Residential,239900 CAD,4437 48 Avenue 
4,2,1082,0.16,Residential,284900 CAD,826 6 Street S 
5,3,1525,0.46,Residential,295000 CAD,4905 50 Avenue 
4,3,,,Residential,274900 CAD,107 1 Ave 
3,2,1004,2.55,Residential,275000 CAD,4615 50 Avenue 
4,2,1008,0.08,Residential,219900 CAD,11233 91 Street 
4,2,1650,0.19,Residential,298000 CAD,10843 103 Street 
3,3,1648,0.12,Residential,275000 CAD,35 Robinson Drive SE 
3,1,936,0.19,Residential,262900 CAD,4910 48 Street 
4,3,1236,,Residential,230000 CAD,5224 50 street 
4,2,1040,,Residential,299900 CAD,998 13 ST 
3,2,1070,0.23,Residential,265000 CAD,4908 53 Street 
4,3,1350,0.17,Residential,265000 CAD,11715 103 Street 
3,1,1394,,Residential,262900 CAD,2310 15 Avenue 
4,2,960,0.17,Residential,237500 CAD,9604 85 Ave 
3,1,1375,2.69,Residential,249900 CAD,5205 50 street 
2,2,890,,Residential,269000 CAD,69 Springborough Court SW 
5,3,1154,0.18,Residential,279000 CAD,10902 92 Street 
1,1,765,,Residential,216888 CAD,120 Panatella Landing NW 
4,2,902,0.15,Residential,249900 CAD,10402 81 Street 
3,2,1124,,Residential,230000 CAD,4914-48 ave 
4,3,1364,,Residential,210000 CAD,5017 46AVE 
,,,,Residential,228800 CAD,11310 93 ST NW 
2,2,83701,,Residential,269000 CAD,12 Whitetail Cove 
4,2,1124,,Residential,279900 CAD,4214 51 ave 
3,2,1141,,Residential,249900 CAD,630 Sabrina Road SW 
,,159996,,Residential,209900 CAD,5618 50 Street 
4,2,1580,,Residential,225000 CAD,"5012-53 st. Lamont, Alberta "
,,,,Residential,235500 CAD,278 Park Meadows Drive SE # 130 
4,2,1456,,Residential,254900 CAD,4429 46 Ave 
,,,.338,Residential,259500 CAD,413 River Avenue 
2,2,83701,,Residential,279000 CAD,8 Whitetail Cove 
3,1,1069,,Residential,219700 CAD,2066 Luxstone Boulevard SW #302 
5,2,1308,,Residential,254900 CAD,4703 43 Ave 
2,1,1490,>0.3,Residential,235000 CAD,203 Sandy Bay 
4,2,1260,,Residential,288000 CAD,68218 Campsite Road 
3,2,1075,,Residential,269900 CAD,4713 43 Ave. 
,,,,Residential,223000 CAD,5313-49AVE 
2,1,724,,Residential,219900 CAD,#5 Blue Heron Rd 
3,2,10705,,Residential,279900 CAD,48 Garden Crescent 
