Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,1,863,.117,Residential,179900 CAD,1064 Princess STREET 
3,2,885,,Residential,169900 CAD,1076 7th STREET E 
4,2,874,.115,Residential,87000 CAD,413 3rd STREET W 
,,,g>10,Residential,85000 CAD,RM 494 Canwood - 10 acres 
3,1,1132,.161,Residential,89900 CAD,405 Cypress STREET 
1,1,850,.287,Residential,79900 CAD,108 1st AVENUE E 
3,2,1076,.264,Residential,165000 CAD,402 4th STREET E 
2,1,966,.224,Residential,145000 CAD,361 18th STREET W 
,,2041,.517,Residential,120000 CAD,501 West ROAD 
2,1,946,.149,Residential,74000 CAD,407 5th AVENUE 
3,4,1474,.275,Residential,143000 CAD,127 Hawkins STREET 
2,2,1024,.129,Residential,169900 CAD,805 West STREET 
4,2,1040,.138,Residential,159000 CAD,239 Gilbert STREET 
3,1,1050,.052,Residential,184900 CAD,2824 12th AVENUE 
4,2,1100,.157,Residential,135000 CAD,473 4th AVENUE E 
3,2,1473,,Residential,149000 CAD,801 Howard STREET 
2,1,932,0.28,Residential,139000 CAD,338 2nd AVENUE 
4,2,1056,.161,Residential,157500 CAD,180 4th AVENUE W 
,,448,.258,Residential,70000 CAD,Cabin in the woods 
3,2,676,,Residential,149900 CAD,194 Fourth AVENUE N 
3,3,1040,.103,Residential,189000 CAD,515 3rd STREET W 
2,1,762,.138,Residential,39000 CAD,212 Bray AVENUE 
4,2,1408,.138,Residential,74995 CAD,309 Main STREET 
3,3,1120,.231,Residential,190000 CAD,157 8th AVENUE E 
2,1,1208,,Residential,100000 CAD,8 Danton STREET 
3,3,1759,,Residential,184900 CAD,143 Knobel BAY 
3,2,1456,.161,Residential,149000 CAD,127 10th AVENUE W 
3,2,1244,.207,Residential,172900 CAD,310 Second STREET W 
2,1,682,0.15,Residential,144900 CAD,192 27th STREET 
4,2,768,.179,Residential,158000 CAD,116 4th STREET E 
4,1,1088,6.48,Residential,51777 CAD,Opportunawaits 
4,1,960,,Residential,160000 CAD,77 12th STREET 
2,1,755,0.79,Residential,79000 CAD,404 FRONT STREET 
3,1,1088,.275,Residential,35000 CAD,503 Pacific AVENUE 
