Beds,Bath,Sqft,Lot_Size,Type,Price,Address
5,4,2097904,0.09,Single,529900 CAD,8313 SHASKE CR NW 
3,2,2305,0.27,Residential,685000 CAD,55 Cougartown Close SW 
4,2,1079,,Residential,699900 CAD,912 36B St NW 
2,2,1281,,Residential,599900 CAD,823 5 Ave NW 
5,4,1667,.129,Residential,699000 CAD,347 Falcon Drive 
7,4,26332,3.38,Residential,645000 CAD,453045 RGE RD 61 
4,3,1654,.115,Residential,599900 CAD,2222 Garnett Court NW 
4,3,2556,>0.1,Residential,559900 CAD,1785 Westerra Loop 
3,2,178898,,Residential,699000 CAD,4622 117 Street 
3,2,175453,,Residential,669900 CAD,585067 RR 133 
4,4,2201884,,Single,585000 CAD,1019 105 ST NW NW 
4,2,1424,.138,Single,614900 CAD,4740 Montalban Drive NW 
5,4,2428,.267,Single,674900 CAD,33 Ross Heights Court SE 
6,4,15454,.113,Single,549999 CAD,630 Arbour Lake Drive NW 
4,3,2406,.123,Single,588000 CAD,8266 Edgebrook Drive NW 
5,4,2155,.098,Single,568000 CAD,30 Cranford Gardens SE 
5,4,22504,.089,Single,689000 CAD,175 Cougar Ridge Manor SW 
3,4,2094,.145,Single,575000 CAD,4812 Nordegg Crescent NW 
4,2,2425,,Residential,509900 CAD,121 Baywater Way SW 
3,3,2454515,.092,Single,625000 CAD,17603 77 ST NW 
4,4,1970,.183,Single,619000 CAD,223 Springborough Way SW 
5,3,1425,.123,Single,699999 CAD,9439 Academy Drive 
4,4,207179,.126,Single,659900 CAD,311 Douglasbank Green SE 
4,4,215003,0.13,Single,569000 CAD,1048 Deer River Circle SE 
3,3,2497,.106,Single,575000 CAD,410 Silverado Way SW 
3,3,1782949,3.12,Single,650000 CAD,53218 RGE RD 14 11
4,3,1093,.115,Single,649900 CAD,28 Alderwood Close SE 
4,4,1988003,.082,Single,689000 CAD,10207 79 ST NW 
3,2,1179,.148,Single,599900 CAD,145 Hanover Road SW 
3,2,10322,.138,Single,542500 CAD,78 Fairview Drive SE 
4,3,207799,,Single,628900 CAD,23 Edison DR 
4,3,1451,.151,Single,619900 CAD,128 Eglert Drive 
5,2,1140984,2.99,Single,525000 CAD,22559 WYE RD 148
5,2,960,.138,Single,674900 CAD,2835 36 Street SW 
5,4,2054,.139,Single,679900 CAD,176 Killdeer Way 
1,3,236808,,Single,648800 CAD,5722 175b Avenue NW 
2,2,1150,.072,Single,609000 CAD,2020 26A Street SW 
5,4,1978,.126,Single,669900 CAD,143 Killdeer Way 
3,2,1486,6.14,Single,534900 CAD,424049 Range Road 251 
4,4,2524,0.12,Residential,649900 CAD,59 Sixmile Road S 
4,4,1973041,,Single,519900 CAD,425 Ancroft CL 
3,4,2382827,0.99,Single,659800 CAD,23361 TWP RD 510 100
3,3,2022,.138,Single,650000 CAD,8209 121 Street 
5,3,1435918,.144,Single,534900 CAD,80 BRIDGEPORT WD 
4,3,1130,.151,Single,589900 CAD,808 Mapleton Drive SE 
5,5,263718,.093,Single,680000 CAD,16713 61 ST NW 
3,3,2347521,.095,Single,550000 CAD,16723 59 ST NW 
5,3,1977993,,Single,647500 CAD,19 Creekside CL 
3,3,2133,0.12,Single,599900 CAD,250 Nolanhurst Bay NW 
3,3,2267437,>0.1,Single,599900 CAD,2441 WARE CR NW 
3,1,1113213,3.71,Single,528500 CAD,473068 RR 11 14
