Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
2.0,1.0,1107.0,449000.0,6400 chambéry ,QC,Central Canada,46.8592503,-71.2812963,"Rue de Chambéry, Charlesbourg, Trait-Carré, Charlesbourg, Québec, Québec (Agglomération), Capitale-Nationale, Québec, G1G 4E1, Canada"
1.0,1.0,675.0,349000.0,"301 rue emery, #403 ",QC,Central Canada,45.5143189,-73.5640915,"Café Saint-Henri, 301, Rue Émery, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 1J2, Canada"
3.0,3.0,1535.0,1447190.0,1000 de la montagne ,QC,Central Canada,45.7950152,-71.8978263,"De la Montagne, Trois-Lacs, Val-des-Sources, Les Sources, Estrie, Québec, J1T 1A4, Canada"
3.0,2.0,1350.0,299900.0,2160 beaudoin ,QC,Central Canada,45.5495424044707,-76.20198357790608,"2160, Chemin Beaudoin, Pontiac, Les Collines-de-l'Outaouais, Outaouais, Québec, J0X 2V0, Canada"
3.0,2.0,2000.0,1418000.0,"1500 rue des bassins, #110 ",QC,Central Canada,45.48939105,-73.56125084148609,"Les Bassins du Havre - Quai 2, 1500, Rue des Bassins, Griffintown, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3C 0N3, Canada"
2.0,1.0,608.0,510305.0,1000 de la montagne ,QC,Central Canada,45.7950152,-71.8978263,"De la Montagne, Trois-Lacs, Val-des-Sources, Les Sources, Estrie, Québec, J1T 1A4, Canada"
2.0,2.0,1420.0,1249000.0,"365 rue st-andre, #1703 ",QC,Central Canada,47.8766906,-68.7199526,"Rue Saint André, Squatec, Saint-Michel-du-Squatec, Témiscouata, Bas-Saint-Laurent, Québec, Canada"
1.0,1.0,800.0,599000.0,1414 rue chomedey ,QC,Central Canada,45.4907362,-73.58354599915097,"1414, Rue Chomedey, Montagne, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3H 1M6, Canada"
4.0,1.0,2010.0,907000.0,6554 rue st-denis ,QC,Central Canada,45.534330175824174,-73.6059980978022,"6554, Rue Saint-Denis, Saint-Édouard, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2S 2R9, Canada"
3.0,2.0,2940.0,1175000.0,"4450 prom. paton, #1016 ",QC,Central Canada,45.5238226,-73.7497527,"4450, Promenade Paton, Chomedey, Laval (13), Laval (ville), Québec, H7W 5J6, Canada"
4.0,1.0,1500.0,289000.0,30 rue louis ,QC,Central Canada,45.386432,-75.8261304736842,"30, Rue Louis, Aylmer, Gatineau, Outaouais, Québec, J9H 2N1, Canada"
2.0,2.0,3100.0,1279000.0,412 rue du champ-de-mars ,QC,Central Canada,45.5106374375,-73.5530958,"412, Rue du Champ-de-Mars, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2Y 1C8, Canada"
3.0,2.0,2045.0,1450000.0,175 av. metcalfe ,QC,Central Canada,45.48173525022329,-73.59201304590069,"175, Avenue Metcalfe, Westmount, Agglomération de Montréal, Montréal (06), Québec, H3Y 3B1, Canada"
2.0,1.0,1063.0,599000.0,4418 hôtel-de-ville ,QC,Central Canada,45.4834508,-73.8104057,"Hôtel de Ville, Dollard-Des-Ormeaux, Agglomération de Montréal, Montréal (06), Québec, H9B 2A7, Canada"
2.0,3.0,1105.0,1008158.0,1000 de la montagne ,QC,Central Canada,45.7950152,-71.8978263,"De la Montagne, Trois-Lacs, Val-des-Sources, Les Sources, Estrie, Québec, J1T 1A4, Canada"
4.0,2.0,2810.0,808000.0,48 rue cadillac ,QC,Central Canada,45.44771771883388,-73.84452308215157,"48, Rue Cadillac, Kirkland, Agglomération de Montréal, Montréal (06), Québec, H9H 4M7, Canada"
2.0,1.0,744.0,79900.0,19 chemin du lac-sinclair ,QC,Central Canada,45.7691074,-76.1741936,"19, Chemin du Lac-Sinclair, La Pêche, Les Collines-de-l'Outaouais, Outaouais, Québec, Canada"
2.0,2.0,722.0,630890.0,1000 de la montagne ,QC,Central Canada,45.7950152,-71.8978263,"De la Montagne, Trois-Lacs, Val-des-Sources, Les Sources, Estrie, Québec, J1T 1A4, Canada"
1.0,1.0,740.0,629000.0,"1300 rene-levesque o., #2107 ",QC,Central Canada,45.5070453,-73.56459302944242,"René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
1.0,1.0,483.0,422050.0,1000 de la montagne ,QC,Central Canada,45.7950152,-71.8978263,"De la Montagne, Trois-Lacs, Val-des-Sources, Les Sources, Estrie, Québec, J1T 1A4, Canada"
