Beds,Bath,Sqft,Lot_Size,Type,Price,Address
6,3,1403,.177,Residential,222500 CAD,516 Macmillan STREET 
3,2,2064,.179,Residential,287000 CAD,608 1st STREET E 
3,2,864,.126,Residential,214900 CAD,19 Wellington DRIVE 
3,2,860,0.13,Residential,209000 CAD,910 3rd STREET W 
5,2,1080,.115,Residential,324900 CAD,520 1st STREET E 
3,2,1137,.138,Residential,249900 CAD,219 Charles Street 
3,2,1360,0.07,Residential,334000 CAD,38 Brigham ROAD 
3,2,1800,.517,Residential,345000 CAD,26 Bradwell STREET 
2,1,1008,.092,Residential,219000 CAD,1511 7th AVENUE 
2,1,1005,,Residential,289900 CAD,7 Snake Trail ROAD 
4,3,1063,.118,Residential,309000 CAD,277 CANNON STREET 
5,3,1372,.206,Residential,229900 CAD,341 1st STREET 
4,1,1184,.207,Residential,228395 CAD,106 Wetmore STREET 
5,3,1344,,Residential,319900 CAD,725 Adamson CRESCENT 
4,3,1376,,Residential,229000 CAD,125 2nd AVENUE 
3,4,1982,5.25,Residential,345000 CAD,STEWART ACREAGE 
4,2,1596,5.83,Residential,329000 CAD,Wadena Acreage 
3,2,1280,.138,Residential,239900 CAD,1412 95th STREET 
3,2,1365,,Residential,347000 CAD,135 Coteau STREET 
5,3,1342,,Residential,359000 CAD,13 Scott BAY 
3,1,918,.125,Residential,299900 CAD,108A 111th STREET W 
4,2,1001,,Residential,275000 CAD,308 111th STREET 
3,2,1590,,Residential,205000 CAD,14 2nd STREET E 
3,2,1333,,Residential,354900 CAD,1221 6th AVENUE N 
3,2,990,,Residential,219900 CAD,407 Albert STREET 
3,2,1074,.126,Residential,264900 CAD,1310 Vaughan STREET 
2,1,975,.149,Residential,220000 CAD,168 5th AVENUE SE 
,,1376,.151,Residential,239000 CAD,805 Potter PLACE 
3,3,1222,,Residential,329900 CAD,534 Denham WAY 
2,1,843,.101,Residential,220000 CAD,1022 K AVENUE N 
6,2,1728,.098,Residential,262900 CAD,1165 Alder AVENUE 
4,3,2020,.234,Residential,319000 CAD,409 Caskey DRIVE 
4,2,1150,9.71,Farm,399000 CAD,Southey Farm 
6,3,1566,.275,Residential,254900 CAD,404 First STREET NW 
5,3,1580,,Residential,249700 CAD,"222 1st Street W, Kyle "
3,3,1344,1.09,Residential,385500 CAD,"Pippin Street, Pike Lake "
3,3,1197,.143,Residential,400000 CAD,3861 Athol STREET 
4,2,988,.145,Residential,229900 CAD,532 19th STREET W 
3,2,1060,,Residential,238500 CAD,418 5th STREET 
5,3,1800,.344,Residential,289000 CAD,241 Alberta AVENUE 
3,2,1500,5.27,Residential,295000 CAD,LAWRENCE ACREAGE 
3,2,1080,0.19,Residential,299000 CAD,6 Blue Heron Place 
4,3,1272,,Residential,244000 CAD,918 16th STREET 
5,1,1250,g>10,Residential,375000 CAD,Watson Acreage 
3,1,1066,g>10,Residential,339900 CAD,Peters Acreage 
6,3,1080,,Residential,339900 CAD,208 Reddekopp LANE 
5,1,850,.106,Residential,279900 CAD,5721 2nd AVENUE N 
3,1,1260,0.22,Residential,359000 CAD,13 White Birch CRESCENT 
3,2,1000,0.18,Residential,229900 CAD,505 24th STREET W 
3,2,1086,.083,Residential,349900 CAD,240 2nd STREET E 
4,3,1114,.183,Residential,309900 CAD,108 Guenther Crescent 
2,1,898,,Residential,289800 CAD,1135 7th STREET E 
3,2,1280,>0.3,Residential,219900 CAD,530 Railway STREET 
4,3,1200,,Residential,339900 CAD,847 3rd STREET E 
3,2,817,.163,Residential,273900 CAD,2996 15th AVENUE E 
4,3,1170,,Residential,219900 CAD,23 Wexford STREET 
3,2,1187,0.15,Residential,379900 CAD,369 Waterloo CRESCENT 
4,2,1432,g>10,Residential,279900 CAD,Weirdale Acreage 
6,4,3000,.458,Residential,339500 CAD,805 9th STREET 
4,1,800,,Residential,220000 CAD,413 W AVENUE N 
3,1,840,,Residential,249900 CAD,1501 Central AVENUE 
5,4,2446,0.19,Residential,299000 CAD,302 4th STREET W 
3,3,2486,1.08,Residential,395000 CAD,26 WILSON STREET 
3,2,1076,.085,Residential,214900 CAD,207 Brookdale PLACE 
5,3,1627,,Residential,265000 CAD,8 Prairie View CRESCENT 
4,4,1120,,Residential,299900 CAD,43 28th STREET E 
3,1,1354,g>10,Residential,235000 CAD,Brennan Acreage - 10 Acres 
3,1,939,.139,Residential,254900 CAD,42 Ingersoll CRESCENT 
5,3,2128,.285,Residential,389000 CAD,39 Rutley CRESCENT 
3,2,954,g>38,Residential,299900 CAD,Bueckert Acreage 
4,4,1900,.275,Residential,279900 CAD,1991 99th STREET 
5,4,2260,,Residential,259900 CAD,236 Iris BAY 
3,3,1138,,Residential,289900 CAD,2324 20th STREET W 
5,4,1700,.138,Residential,349900 CAD,22 Metz STREET 
2,2,792,.118,Residential,264900 CAD,1554 Bond STREET 
5,3,1440,,Residential,368000 CAD,402 3rd STREET E 
4,2,1040,,Residential,319450 CAD,1836 Coteau AVENUE 
3,2,1224,,Residential,369900 CAD,2514 Broadway AVENUE 
3,1,936,.138,Residential,289900 CAD,1315 Catherwood AVENUE 
3,3,1444,4.11,Residential,224900 CAD,1101 Wizewood ROAD 
3,3,1472,.138,Residential,349900 CAD,1313 Conn AVENUE 
2,1,902,.165,Residential,240000 CAD,422 Zealandia AVENUE 
3,2,2070,.223,Residential,312900 CAD,99-20 Indian POINT 
4,1,1200,.072,Residential,274900 CAD,2337 Cameron STREET 
2,1,864,.132,Residential,339900 CAD,306 Smith STREET 
3,2,2081,.321,Residential,284900 CAD,312 6th AVENUE W 
3,3,1256,.224,Residential,325000 CAD,412 Walsh STREET 
5,3,1440,0.19,Residential,292000 CAD,301 5th STREET W 
3,2,832,,Residential,269900 CAD,118 EVANS STREET 
4,3,1593,.155,Residential,289900 CAD,50 Blake CRESCENT 
3,3,2234,>0.6,Residential,249999 CAD,901 Prince STREET 
5,3,1269,,Residential,335000 CAD,604 Forester CRESCENT 
3,2,1075,.085,Residential,209900 CAD,1183 Alder AVENUE 
3,2,1168,.136,Residential,288900 CAD,6139 7th AVENUE N 
3,2,1007,.162,Residential,299900 CAD,74 Howell AVENUE 
5,4,3490,,Residential,389000 CAD,80 Sunset DRIVE N 
3,1,1179,.067,Residential,222900 CAD,330 K AVENUE N 
5,2,1102,.163,Residential,399900 CAD,2610 14th STREET E 
5,2,1330,4.98,Residential,388500 CAD,Muenster Acreage 
2,2,1033,,Residential,229900 CAD,201-303 Lowe Road 
4,2,1388,,Residential,309900 CAD,525 Cory STREET 
4,2,1027,.139,Residential,339900 CAD,39 Cantlon CRESCENT 
3,3,1945,0.19,Residential,220000 CAD,Lot 11 Macklin Lake Regional Park 
5,3,1580,,Residential,249700 CAD,222 1st STREET W 
2,3,1288,.194,Residential,339900 CAD,1642 Bingham ROAD 
5,3,1230,.164,Residential,359900 CAD,358 Walsh TRAIL 
3,3,1288,9.49,Residential,329900 CAD,"Acreage, 302 West "
4,2,759,.095,Residential,279900 CAD,1013 C AVENUE N 
3,2,1197,.138,Residential,275000 CAD,14 Roberts STREET 
5,1,1451,.551,Residential,289900 CAD,109 Prairie STREET 
4,3,1442,.275,Residential,265000 CAD,315 4th STREET E 
3,2,1508,ng>1,Residential,395000 CAD,249 Carriage DRIVE 
4,3,1261,0.19,Residential,359900 CAD,445 Southwood DRIVE 
2,2,1152,9.89,Residential,350000 CAD,Knittig Acreage 
4,2,960,,Residential,239000 CAD,412 McGillivray DRIVE 
5,3,2264,>187,Farm,319000 CAD,Sims Farm - 187 Acres 
5,3,1310,.149,Residential,279500 CAD,211 Sidney STREET 
4,2,1175,.073,Residential,239900 CAD,333 E AVENUE S 
3,1,1021,,Residential,329900 CAD,15-110 Banyan Cres. 
5,3,1248,.137,Residential,317900 CAD,255 Read AVENUE 
3,2,1352,,Residential,279000 CAD,45 Warren STREET 
4,2,1160,0.15,Residential,220000 CAD,322 6th AVENUE W 
7,4,2448,0.63,Residential,259000 CAD,21 Railway AVENUE 
3,3,1190,g>10,Residential,285000 CAD,Prescesky Acreage 
3,2,875,,Residential,222500 CAD,209 Macdowall CRESCENT 
3,3,1040,.164,Residential,205000 CAD,912 Bell STREET 
5,2,1048,0.16,Residential,269900 CAD,3208 Patricia AVENUE 
5,2,1344,0.24,Residential,288000 CAD,481 2nd AVENUE W 
4,2,1291,.144,Residential,309900 CAD,101 EDWARD STREET 
4,1,1277,,Residential,389900 CAD,346 Balsam Cres. 
6,3,1128,.343,Residential,319900 CAD,633 Rupert STREET 
2,2,1952,1.54,Residential,399000 CAD,Martinez Acreage 
3,1,872,0.18,Residential,295000 CAD,6 St George AVENUE 
3,2,1208,.139,Residential,374900 CAD,114 Lakeside ROAD 
5,3,1140,.241,Residential,269900 CAD,603 1st STREET W 
5,2,1129,.181,Residential,279000 CAD,1204 North Railway STREET E 
3,1,1232,0.33,Residential,279900 CAD,38A Delaronde BAY 
3,3,950,,Residential,249900 CAD,114 4th STREET 
3,2,970,.071,Residential,347500 CAD,5105 Campling AVENUE 
5,4,1296,,Residential,399900 CAD,775 1st AVENUE N 
