Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
2.0,1.0,10639.0,,Residential,134900 CAD,5218 51 Avenue ,AB,Prairie Provinces
3.0,1.0,1298.0,0.14,Residential,149000 CAD,4903 50 Street ,AB,Prairie Provinces
3.0,1.0,1056.0,0.19,Residential,179900 CAD,4812 45 Street ,AB,Prairie Provinces
,,,,Residential,135000 CAD,4511 53 street ,AB,Prairie Provinces
2.0,1.0,484.0,,Residential,169900 CAD,13039-66 Street ,AB,Prairie Provinces
2.0,1.0,1180.0,,Residential,69000 CAD,14 111 6th Street SE ,AB,Prairie Provinces
,,753.0,,Residential,50000 CAD,4720-47AVE ,AB,Prairie Provinces
2.0,,72119.0,,Residential,89900 CAD,4810 51 St ,AB,Prairie Provinces
3.0,1.0,1051.0,,Residential,179000 CAD,411 6 Street NW ,AB,Prairie Provinces
3.0,2.0,1520.0,,Other,105000 CAD,7821 97 Avenue ,AB,Prairie Provinces
3.0,2.0,1260.0,,Residential,109900 CAD,5802 Fontaine Drive ,AB,Prairie Provinces
3.0,2.0,712.0,,Residential,199900 CAD,11825 70 ST NW ,AB,Prairie Provinces
3.0,1.0,1328.0,0.18,Residential,169900 CAD,10131 104 Avenue ,AB,Prairie Provinces
3.0,1.0,1220.0,,Residential,79000 CAD,4630  Windsor Ave. ,AB,Prairie Provinces
2.0,1.0,525.0,0.13,Residential,35000 CAD,316 1st Street ,AB,Prairie Provinces
2.0,1.0,912.0,0.23,Residential,59000 CAD,106 Railway Avenue ,AB,Prairie Provinces
3.0,2.0,81601.0,,Residential,188000 CAD,5125 48 AVENUE ,AB,Prairie Provinces
,,,.181,Residential,98500 CAD,6308 45 street ,AB,Prairie Provinces
1.0,1.0,584.0,,Residential,196000 CAD,#50 FIRST AVE ,AB,Prairie Provinces
,,,0.13,Residential,92500 CAD,"#10, Highway 633 RR 53 ",AB,Prairie Provinces
2.0,2.0,,,Residential,139900 CAD,#1204 901 16 ST ,AB,Prairie Provinces
5.0,3.0,1912.0,0.18,Residential,195000 CAD,9907 98 Street ,AB,Prairie Provinces
6.0,3.0,1050.0,0.18,Residential,175000 CAD,4719 47 Avenue ,AB,Prairie Provinces
1.0,1.0,790.0,,Residential,179000 CAD,8912 - 156 street ,AB,Prairie Provinces
1.0,1.0,496.0,,Residential,149900 CAD,1530 15 Avenue SW ,AB,Prairie Provinces
,,,,Residential,150000 CAD,5105 50 Ave ,AB,Prairie Provinces
2.0,1.0,76995.0,.215,Residential,139000 CAD,5008 52 Street ,AB,Prairie Provinces
3.0,,750.0,1.02,Residential,144900 CAD,575032- Range Road 184 Lamont County ,AB,Prairie Provinces
,,,,Residential,199000 CAD,"Lot 13 Campsite Road, Plamondon, Alberta ",AB,Prairie Provinces
2.0,1.0,1040.0,,Residential,89000 CAD,5207-50th Street ,AB,Prairie Provinces
3.0,2.0,1420.0,,Other,80000 CAD,10615 88 Street 255,AB,Prairie Provinces
2.0,1.0,636.0,0.14,Residential,115000 CAD,4718 51 Avenue ,AB,Prairie Provinces
2.0,1.0,792.0,0.15,Residential,25000 CAD,5019 50 Avenue ,AB,Prairie Provinces
2.0,2.0,1344.0,.066,Residential,74900 CAD,4710 Windsor Avenue ,AB,Prairie Provinces
2.0,1.0,1015.0,0.13,Residential,129900 CAD,5302 48 Street ,AB,Prairie Provinces
2.0,2.0,1024.0,,Residential,165000 CAD,5037 47 AVE ,AB,Prairie Provinces
4.0,2.0,1145.0,,Residential,99500 CAD,"25 Prince Drive, Lamont, Alberta ",AB,Prairie Provinces
2.0,1.0,960.0,,Residential,105000 CAD,5007A 47 Street ,AB,Prairie Provinces
,,,,Residential,104900 CAD,5412 - 56 Street ,AB,Prairie Provinces
4.0,2.0,110116.0,,Residential,189900 CAD,11 Duke Drive ,AB,Prairie Provinces
3.0,1.0,1272.0,,Residential,188705 CAD,1412 9 street ,AB,Prairie Provinces
1.0,1.0,621.0,,Residential,168888 CAD,100 Cranfield Commom SE ,AB,Prairie Provinces
3.0,1.0,867.0,,Residential,199800 CAD,821A Balmoral Street SE ,AB,Prairie Provinces
2.0,2.0,807.0,,Residential,129900 CAD,5228-47 Street ,AB,Prairie Provinces
4.0,2.0,1120.0,,Residential,174000 CAD,5008 50 Avenue ,AB,Prairie Provinces
3.0,2.0,,,Residential,98000 CAD,5012 - 53 STREET ,AB,Prairie Provinces
2.0,2.0,485.0,,Residential,197500 CAD,121 Copperpond Common SE ,AB,Prairie Provinces
4.0,1.0,1440.0,0.16,Residential,68000 CAD,5124 48 Street ,AB,Prairie Provinces
4.0,1.0,973.0,,Residential,119500 CAD,5135-52nd Ave ,AB,Prairie Provinces
2.0,1.0,1107.0,,Other,34900 CAD,9531 98 Street 21,AB,Prairie Provinces
2.0,2.0,1008.0,,Residential,157000 CAD,5038-47th Ave ,AB,Prairie Provinces
3.0,1.0,106779.0,,Residential,59900 CAD,4809 50th Ave ,AB,Prairie Provinces
2.0,1.0,760.0,,Residential,100000 CAD,101 Big Hill Way SE ,AB,Prairie Provinces
,,1350.0,,Residential,199000 CAD,"5028-50 ave. Lamont, Alberta ",AB,Prairie Provinces
,,,.132,Residential,84500 CAD,"5, 3410 Ste Anne Trail ",AB,Prairie Provinces
3.0,3.0,1176.0,0.16,Residential,175000 CAD,5420 46 Street ,AB,Prairie Provinces
2.0,1.0,681.0,,Residential,115000 CAD,8021-115 Ave ,AB,Prairie Provinces
3.0,2.0,1115.0,,Residential,99900 CAD,5014 Imperial Avenue ,AB,Prairie Provinces
