Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,1.0,,6.15,Single,498000,937741 MARSH BAY RD ,ON,Central Canada
2.0,1.0,,,Single,439000,7 Queens Lane/Bidwell Rd. ,ON,Central Canada
3.0,3.0,,,Residential,828810,2384 Bur Oak Ave ,ON,Central Canada
2.0,1.0,,6.99,Single,2249000,123 OXFORD Street W ,ON,Central Canada
2.0,2.0,,,Single,99900,237 Maple ST S ,ON,Central Canada
4.0,2.0,,2.75,Single,1100000,9383 COUNTY ROAD 30 ,ON,Central Canada
3.0,1.0,,,Single,249000,485 TIFFIN Street ,ON,Central Canada
5.0,1.0,,,Single,899000,518 HIGHWAY ST 261,ON,Central Canada
8.0,9.0,,,Single,7990000,25 CHIEFTAIN CRES ,ON,Central Canada
5.0,1.0,,,Single,899000,518 Highway 261,ON,Central Canada
2.0,2.0,,,Single,490000,53 PINE Street S ,ON,Central Canada
3.0,3.0,,,Single,1400000,37 GODERICH POINT LOOP ,ON,Central Canada
5.0,7.0,,ng>5,Single,11250000,1158 RANWOOD Road Unit 17,ON,Central Canada
4.0,1.0,,.865,Single,599000,1465 RIVERSIDE Drive ,ON,Central Canada
3.0,2.0,,,Single,599000,122 MOORE Avenue S ,ON,Central Canada
3.0,1.0,,>195,Single,529900,501 Lee Valley RD ,ON,Central Canada
6.0,3.0,,>0.4,Single,999990,168W KING Street W ,ON,Central Canada
4.0,3.0,,,Single,1490000,1835 MARK SETTLEMENT Drive ,ON,Central Canada
1.0,1.0,,,Single,115000,2152 COUNTY RD 36 RD ,ON,Central Canada
4.0,2.0,,,Single,1325000,59 CHINA COVE RD ,ON,Central Canada
3.0,3.0,,,Single,1499900,185 COUTTS BAY ROAD ,ON,Central Canada
3.0,2.0,,g>56,Single,775000,142 MCLELLAN ROAD ,ON,Central Canada
3.0,3.0,,3.78,Single,1400000,4921 ROBINSON Road ,ON,Central Canada
3.0,3.0,,1.36,Single,1995000,3792 COUNTY ROAD 8 ,ON,Central Canada
6.0,3.0,,,Single,260000,6-14 PINETREE LANE ,ON,Central Canada
4.0,2.0,,,Residential,1100000,3721 Paden Rd ,ON,Central Canada
2.0,1.0,,,Single,495000,739 GLANMIRE LAKE LANE ,ON,Central Canada
3.0,1.0,,,Residential,2190000,1249 Book Rd W ,ON,Central Canada
4.0,2.0,,g>10,Single,524900,1355 BAY ROAD ,ON,Central Canada
4.0,2.0,,2.24,Single,1375000,49 PRIOR Lane ,ON,Central Canada
4.0,2.0,,ng>2,Single,599500,161 Gould RD ,ON,Central Canada
3.0,1.0,,,Single,599900,202 MICA POINT Road ,ON,Central Canada
3.0,2.0,,3.75,Single,1100000,1065 PINE Lane S ,ON,Central Canada
4.0,3.0,,>2.7,Single,1250000,2 GREY Road 496758,ON,Central Canada
3.0,1.0,,,Single,143500,19 Matachewan RD ,ON,Central Canada
2.0,2.0,,,Single,1270000,34602 MCDIARMID LINE ,ON,Central Canada
3.0,1.0,,.753,Single,1149000,1304 PROSPECT Road ,ON,Central Canada
4.0,5.0,,,Single,1629000,9692 DANFORTH RD E ,ON,Central Canada
2.0,1.0,,,Single,2249000,123 OXFORD ST W ,ON,Central Canada
3.0,2.0,,,Single,1495000,40 HILL Street ,ON,Central Canada
2.0,1.0,,,Single,449000,45 DRUMMOND Street ,ON,Central Canada
3.0,2.0,,,Single,899000,1357 HIGHWAY 8 ,ON,Central Canada
3.0,2.0,,8.98,Single,999000,31 FIRE ROUTE 369 ,ON,Central Canada
4.0,4.0,,,Single,3900000,44293 FERGUSON LINE ,ON,Central Canada
2.0,1.0,,3.46,Single,495000,367 COUNTY 8 ROAD ,ON,Central Canada
3.0,1.0,,97.2,Single,525000,326 HYLER Line ,ON,Central Canada
3.0,1.0,,,Single,439999,411 JOCKO POINT Road ,ON,Central Canada
4.0,4.0,,,Single,1795000,212 MARTIN'S RD ,ON,Central Canada
6.0,3.0,,,Single,250000,348 3rd AVE ,ON,Central Canada
3.0,3.0,1895.0,,Residential,999000,275 RIDGE Road S ,ON,Central Canada
3.0,5.0,,,Single,2999000,39 QUARRY Road ,ON,Central Canada
2.0,1.0,876.0,,Residential,449000,45 DRUMMOND Street ,ON,Central Canada
3.0,1.0,,,Single,179000,1 Syenite Street ,ON,Central Canada
2.0,1.0,,>2.8,Single,549000,1691 A BUCKSHOT LAKE Road ,ON,Central Canada
3.0,3.0,1800.0,,Residential,849900,87 Prior Lane ,ON,Central Canada
