Beds,Bath,Sqft,Price,Address,Province,Region
3.0,21.0,2400.0,459000.0,756 Route 148 ,NB,Atlantic region
2.0,769.0,768.0,129000.0,0 Reg Keepings Road ,NL,Atlantic region
2.0,1795.0,795.0,843098.0,2334 St. Paul Ave. ,ON,Central Canada
