Beds,Bath,Sqft,Price,Address,Province,Region
5.0,2.0,,194900.0,77 George ,PE,Atlantic region
,,2980.0,80000.0,32 Birch Point Road ,PE,Atlantic region
,,,159900.0,387 Duvar Rd - Rte 146 ,PE,Atlantic region
5.0,1.0,,299900.0,298  LAKESIDE  RD ,PE,Atlantic region
5.0,4.0,,619999.0,82/84 Sydney Street ,PE,Atlantic region
3.0,2.0,,424000.0,86 RIVERVIEW DR ,PE,Atlantic region
4.0,1.0,,145000.0,3959 Rte 162 ,PE,Atlantic region
,,,179900.0,2921 rte 19 Rocky Point ,PE,Atlantic region
,,,49900.0,Lot 42 Sunset Crescent ,PE,Atlantic region
,,,49900.0,Lot 42 Sunset Crescent ,PE,Atlantic region
,,,249900.0,"32 Louis Sud  Néguac, E9G 1K7 ",NB,Atlantic region
,,1556.0,399000.0,207 Morris Rd ,NB,Atlantic region
,,1152.0,349900.0,"24 Cedar Ridge Rd, Blackville, E9B 0C7 ",NB,Atlantic region
,,,259900.0,"5114 Route 108 Municipality:\tMillerton, E1V 7K5 ",NB,Atlantic region
4.0,2.0,,499900.0,255 Mataya Street ,NB,Atlantic region
3.0,1.0,,169900.0,268 Lakeside Rd ,NB,Atlantic region
2.0,1.0,,114900.0,8 Wright Road ,NB,Atlantic region
,,400.0,94900.0,Lot & Camp Route 126 ,NB,Atlantic region
4.0,1.0,,94900.0,237 Drurys Cove Road ,NB,Atlantic region
3.0,2.0,,249900.0,5357 Route 108 ,NB,Atlantic region
4.0,3.0,,899900.0,381 Titusville Road ,NB,Atlantic region
3.0,2.0,,174900.0,276 Tripp Settlement Road ,NB,Atlantic region
4.0,2.0,,249900.0,55 Glenwood Drive ,NB,Atlantic region
3.0,1.0,,159900.0,26 Dewar Street ,NB,Atlantic region
2.0,2.0,,350000.0,2548 Route 103 ,NB,Atlantic region
3.0,3.0,,949000.0,49 Gentleman Drive ,NB,Atlantic region
3.0,2.0,,299000.0,201 Cari Street ,NB,Atlantic region
5.0,2.0,,119900.0,296 Route 134 ,NB,Atlantic region
3.0,2.0,,489000.0,160 Rue Centre ,NB,Atlantic region
5.0,3.0,,399900.0,18 Briar Brook Place ,NB,Atlantic region
