Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,2,485,,Residential,197500 CAD,121 Copperpond Common SE 
4,1,1440,0.16,Residential,68000 CAD,5124 48 Street 
4,1,973,,Residential,119500 CAD,5135-52nd Ave 
2,1,1107,,Other,34900 CAD,9531 98 Street 21
2,2,1008,,Residential,157000 CAD,5038-47th Ave 
3,1,106779,,Residential,59900 CAD,4809 50th Ave 
2,1,760,,Residential,100000 CAD,101 Big Hill Way SE 
,,1350,,Residential,199000 CAD,"5028-50 ave. Lamont, Alberta "
,,,.132,Residential,84500 CAD,"5, 3410 Ste Anne Trail "
3,3,1176,0.16,Residential,175000 CAD,5420 46 Street 
2,1,681,,Residential,115000 CAD,8021-115 Ave 
3,2,1115,,Residential,99900 CAD,5014 Imperial Avenue 
3,1,1023,,Residential,179900 CAD,79 Amberly Co NW 
3,2,1216,,Other,60000 CAD,7903 97 Avenue 
2,1,739,,Residential,158500 CAD,5601 Dalton Drive NW #101A 
3,2,128791,,Other,155000 CAD,1663 Jubilee Crescent 
1,,210,0.46,Other,67500 CAD,"427, 60501 Range Road 120 "
3,2,116239,0.38,Residential,190000 CAD,502 11120 Township Road 632A 
1,1,2812,2.96,Residential,99900 CAD,82032 Highway 744 
2,1,838,,Residential,179900 CAD,12032 25 ave 
4,2,1130,,Residential,139900 CAD,5206-53 avenue Andrew Alberta 
3,2,1636,,Residential,69900 CAD,5118 51ave 
3,1,122171,,Other,99999 CAD,1 
3,2,111946,,Residential,109900 CAD,4811 51 Ave 
1,1,642,,Residential,169900 CAD,10411 122 St NW 
4,2,980,,Residential,159900 CAD,4920 - 51 ave 
3,1,822,,Other,31500 CAD,C27 Terrace Park 
1,1,928,,Residential,145000 CAD,9801 101 Street 
3,2,1200,>6.7,Residential,200000 CAD,46515 Range Road 161 
5,3,1099973,,Single,159500 CAD,53 AV 5340
2,1,1134,.344,Single,150000 CAD,106 4 Street NW 
3,1,896964,0.23,Single,179900 CAD,"422, 59201 Range Road 95 422"
3,2,1136678,,Single,145000 CAD,1018 West Mount CR NW 
3,3,1240,.138,Single,179900 CAD,5506 49 Street 
5,2,2254,.225,Single,155000 CAD,366 20th Street 
2,2,11295,.274,Single,145000 CAD,4636 53 Street 
2,1,926,.172,Single,167500 CAD,1064 Dominion Street SE 
