Beds,Bath,Sqft,Price,Address,Province,Region
,,800.0,149900.0,80 MacTavish Rd ,NB,Atlantic region
,,,45000.0,"21 Robertson Brook Road; Brantville, New Brunswick E9H 1M1 ",NB,Atlantic region
,,,39900.0,"- Route 11.  Glenelg, E1N 5C7 ",NB,Atlantic region
,,600.0,99700.0,"2065 Route 108, Renous, E9E 2N3 ",NB,Atlantic region
,,1080.0,229900.0,"465 Williston Dr, Miramichi, E1V 5X8 ",NB,Atlantic region
,,,164900.0,"2560 King George Highway. Miramichi, E1V 6W9 ",NB,Atlantic region
,,,80000.0,"2299 Route 118; Mckinleyville, E9E 2H7 ",NB,Atlantic region
,,,99900.0,3204 Sq M Murdock Beach Road ,NB,Atlantic region
,,,30000.0,"lot 27 Gulliver St, Miramichi, E1N 3A7 ",NB,Atlantic region
,,1104.0,489800.0,2570 King George Highway ,NB,Atlantic region
,,,129900.0,261 Main St Blackville ,NB,Atlantic region
,,540.0,118498.0,"97 Hambrook Point Rd, Renous, E9E 2P1 ",NB,Atlantic region
,,1261.0,69900.0,"279 Northwest Rd, Exmoor, E9E 1L7 ",NB,Atlantic region
,,928.0,229900.0,42 Flett St ,NB,Atlantic region
,,1130.0,114900.0,"688 King George Hwy, Miramichi, E1V 1P3 ",NB,Atlantic region
,,1600.0,249900.0,11123 Rue Principale ,NB,Atlantic region
,,,49900.0,2680 420 Route ,NB,Atlantic region
,,800.0,74900.0,"181 Main St Blackville, New Brunswick ",NB,Atlantic region
,,966.0,144500.0,3445 Route 118 ,NB,Atlantic region
,,2562.0,249900.0,"62 Schofield Lane, Renous, E9E 2E8 ",NB,Atlantic region
,,1245.0,249900.0,87 Percy Kelly Dr ,NB,Atlantic region
,,,649800.0,1189 Beaverbrook Rd ,NB,Atlantic region
,,574.0,134900.0,"135 Main St, Doaktown, E9C 1A3 ",NB,Atlantic region
,,722.0,74500.0,"898 Hwy 118, Gray Rapids, E9B 1G2 ",NB,Atlantic region
,,813.0,135000.0,2292 Route 420 Hwy ,NB,Atlantic region
,,,135000.0,Quarry Road ,NB,Atlantic region
,,,109000.0,94-1 Route 108 ,NB,Atlantic region
,,1000.0,115000.0,"18 Centrale St, Rogersville, E4Y 0A4 ",NB,Atlantic region
,,,97500.0,60/62 Queensway ,NB,Atlantic region
,,,128500.0,DIGDEGUASH LAKE ,NB,Atlantic region
,,,62500.0,950 Route 772 ,NB,Atlantic region
,,,13900.0,74-5 Jacqueline Dr. lot ,NB,Atlantic region
,,,329900.0,614 Wellington St. Miramichi ,NB,Atlantic region
,,1766.0,299900.0,72-74 Tweedie St ,NB,Atlantic region
,,,54900.0,"380 Halcomb RdHalcomb, E9E 1W6 ",NB,Atlantic region
,,,45000.0,Sorel Rd ,NB,Atlantic region
,5.0,10800.0,1200000.0,"131 Main Street, Sackville, NB ",NB,Atlantic region
,,,129900.0,9350 sqm Point Aux Carr Road ,NB,Atlantic region
,,,109900.0,"94-1 Route 108; Renous, New Brunswick ",NB,Atlantic region
,,5688.0,14860.0,- O'Keefe Rd ,NB,Atlantic region
,,701.0,169500.0,"168 Brown Rd Miramichi, E1V 3L3 ",NB,Atlantic region
,,968.0,69900.0,74 Main St ,NB,Atlantic region
,,,59900.0,Rte 118 Doyles Brook ,NB,Atlantic region
,,2112.0,259800.0,"248 Duke St Miramichi, E1N 1J8 ",NB,Atlantic region
,,900.0,114900.0,"4000 sqm MacLaggan Dr, Blackville ",NB,Atlantic region
,1.0,,22500.0,6617 Route  11 ,NB,Atlantic region
,1.0,370.0,139900.0,1438 Route 530 ,NB,Atlantic region
,1.0,,40000.0,269 Summerfield Road ,NB,Atlantic region
,1.0,,349900.0,2271 Route 127 ,NB,Atlantic region
,,,49900.0,1321 Rue Principal ,NB,Atlantic region
,2.0,1700.0,189900.0,921 B Back Tracy Road ,NB,Atlantic region
,1.0,240.0,26000.0,1037 Route 103 Unit B,NB,Atlantic region
,1.0,,54000.0,60 Schofield Lane ,NB,Atlantic region
,1.0,,99000.0,850 Principale Street ,NB,Atlantic region
,1.0,,139900.0,190 Scott Siding Road ,NB,Atlantic region
,,,96900.0,5105 Route 105 ,NB,Atlantic region
,2.0,960.0,164900.0,10 East Main ST ,NB,Atlantic region
,1.0,,59900.0,Camp Marks Road ,NB,Atlantic region
,,987.0,49900.0,49 Goguen ,NB,Atlantic region
,1.0,400.0,140000.0,83 Linda ST ,NB,Atlantic region
,1.0,1400.0,350000.0,1878 Route 950 ,NB,Atlantic region
,,,29800.0,3688 Route  134 ,NB,Atlantic region
,,288.0,25550.0,304 Foley Brook Road ,NB,Atlantic region
,,,65000.0,3751 Principale Street ,NB,Atlantic region
,,,154900.0,Route 860 Clover Hill Road ,NB,Atlantic region
,1.0,,425000.0,141 Picadilly Road ,NB,Atlantic region
,,,115900.0,3880 Hwy 108 ,NB,Atlantic region
,,576.0,49900.0,3150 Saint Charles ,NB,Atlantic region
,,,29900.0,7405 Route 8 ,NB,Atlantic region
,,,2900000.0,85-95 Prospect Street ,NB,Atlantic region
,,,94500.0,888 Highway 118 ,NB,Atlantic region
,,1600.0,249900.0,1680 Shediac RD ,NB,Atlantic region
,,480.0,32000.0,306 Foley Brook Road ,NB,Atlantic region
,,,189900.0,501 Pomeroy Ridge Road ,NB,Atlantic region
,1.0,1812.0,94900.0,2730 Route 106 ,NB,Atlantic region
,,,39900.0,- West Eel River Road ,NB,Atlantic region
,1.0,504.0,79000.0,754 Riviere-Verte Road ,NB,Atlantic region
,1.0,560.0,119000.0,1121 Enterprise Road ,NB,Atlantic region
,1.0,2500.0,119500.0,9 Point de Bute ,NB,Atlantic region
,1.0,,80000.0,24 Route 636 ,NB,Atlantic region
,2.0,830.0,74000.0,17 McLaughlin ST ,NB,Atlantic region
,,,25000.0,- Evangeline Street ,NB,Atlantic region
,,,109000.0,1 Route 108 94,NB,Atlantic region
,,,88000.0,158 MacDonald Rd Glenwood ,NB,Atlantic region
,,,114800.0,"370 Lockstead Road, Blackville, New Brunswick ",NB,Atlantic region
,,,84500.0,800 Tweedie Brook ,NB,Atlantic region
,,4356155.0,164900.0,"1270 Route 435, Maple Glen, E1G 3X1 ",NB,Atlantic region
,,,98900.0,22 Travis ,NB,Atlantic region
,,,64900.0,40 Hec 10840 Route 430 ,NB,Atlantic region
,,,144900.0,20 Glove Rd. ,NL,Atlantic region
,,,149900.0,8-12 Cross Road ,NL,Atlantic region
,,,79900.0,2 - 10 Hierlihy Place ,NL,Atlantic region
,,824.0,79900.0,20 Northside Rd ,NL,Atlantic region
,,,229900.0,41-43 Glam Road ,NL,Atlantic region
,,2200.0,125000.0,20-22 Victoria St. ,NL,Atlantic region
,,3600.0,49900.0,36 Water Street ,NL,Atlantic region
,,988.0,174900.0,5-7 Gosses Road ,NL,Atlantic region
,1.0,2850.0,149900.0,8-12 Cross Road ,NL,Atlantic region
,,2160.0,99500.0,314-316 Conception Bay Highway ,NL,Atlantic region
,,2720.0,389000.0,47 Glam Rd ,NL,Atlantic region
,,,299900.0,101 Cross Road ,NL,Atlantic region
,2.0,3000.0,89000.0,157 BOND Road Unit4 LOT,NL,Atlantic region
,1.0,1650.0,178000.0,97B lot 5 Main Street ,NL,Atlantic region
,,2400.0,65000.0,9 Forest Road ,NL,Atlantic region
,,,210000.0,28 Penetanguishene Road ,NL,Atlantic region
,,1551.0,64900.0,67 Lime Street ,NL,Atlantic region
,,1220.0,35000.0,23 Main Road ,NL,Atlantic region
,,,160000.0,3B Maple Crescent ,NL,Atlantic region
,,1080.0,179900.0,88 Amber Drive ,NL,Atlantic region
,,1988.0,139900.0,12 Youden Place ,NL,Atlantic region
,,1400.0,179999.0,40 Greens Road ,NL,Atlantic region
,,,329900.0,3 Simon Place ,NL,Atlantic region
,1.0,470.0,300000.0,4295 Beaubien Est ,QC,Central Canada
,,,875000.0,9119-9121 Rue de Godbout ,QC,Central Canada
,,,500000.0,Ch. Murphy ,QC,Central Canada
,,,274900.0,Ch. Cottage ,QC,Central Canada
,1.0,461.0,250000.0,6670 Rue Jeanne-Mance ,QC,Central Canada
,,,345000.0,1061 rue Saint-Alexandre ,QC,Central Canada
,,5276.0,1799000.0,306-310 Boul. St-Joseph E. ,QC,Central Canada
,1.0,410.0,358262.0,1000 de la Montagne ,QC,Central Canada
,1.0,470.0,218000.0,4295 Beaubien Est ,QC,Central Canada
