Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,2,1600,8.32,Residential,699900 CAD,Rocheleau Ranch 
3,1,1350,0.19,Residential,449900 CAD,45 McCrimmon CRESCENT 
4,5,3229,0.07,Residential,2899000 CAD,5600 Clarence AVENUE S 
5,7,2836,.126,Residential,2990000 CAD,832 Saskatchewan CRESCENT E 
5,4,4542,1.14,Residential,824900 CAD,110 4th STREET 
5,4,2035,.128,Residential,639900 CAD,1414 Paton CRESCENT 
4,2,2259,.321,Residential,419000 CAD,283 2nd AVENUE E 
3,3,1400,.379,Residential,409000 CAD,50 BAUN STREET 
4,2,2310,1.37,Residential,479900 CAD,101 Aspen WAY 
3,3,2564,0.26,Residential,639000 CAD,20 Humboldt Lake DRIVE 
3,3,2223,.206,Residential,2100000 CAD,8099 Wascana Gardens CRESCENT 
3,3,1684,.088,Residential,496900 CAD,5622 Norseman CRESCENT 
4,4,2230,,Residential,689900 CAD,110 Beechdale Crescent 
4,2,1527,.105,Residential,438500 CAD,104 Connaught CRESCENT 
2,1,2036,.152,Residential,468000 CAD,921 7th AVENUE N 
3,2,1404,.198,Residential,419900 CAD,207 Smith STREET 
4,4,1914,.136,Residential,599900 CAD,910 Lynd COURT 
4,3,2850,.144,Residential,1650000 CAD,902 University DRIVE 
2,1,1311,0.19,Residential,429900 CAD,Lot 29 Lakeview DRIVE 
4,4,1425,.087,Residential,459900 CAD,243 Thakur STREET 
3,2,1376,0.03,Residential,1650000 CAD,Grandora Gardens Greenhouse 
4,3,1373,,Residential,479900 CAD,303 Brookside COURT 
4,4,1536,>161,Residential,489500 CAD,RM of Canwood 
5,4,1444,>128,Residential,875000 CAD,Larson Lake Property 
5,3,2438,0.12,Residential,999900 CAD,1014 Osler STREET 
3,5,3179,,Residential,1690000 CAD,313 11th STREET E 
3,3,1639,,Residential,519900 CAD,920 3rd STREET E 
5,3,1860,4.34,Residential,439000 CAD,Fairmount Acreage 
3,3,1582,.149,Residential,769500 CAD,3513 Evans COURT 
4,4,3126,.141,Residential,889000 CAD,322 Pohorecky STREET 
4,4,1480,,Residential,549900 CAD,1315 8th AVENUE N 
3,2,2072,0.01,Residential,699900 CAD,810 Forseille DRIVE 
5,3,1702,,Residential,464900 CAD,327 Coben CRESCENT 
4,2,1242,.199,Residential,449900 CAD,2101 RED DEER ROAD 
5,4,1868,.269,Residential,899900 CAD,519 Hurley COURT 
3,3,1814,,Residential,569800 CAD,523 Germain Way 
6,3,1500,.198,Residential,449900 CAD,2101 Taylor STREET E 
3,3,1413,.106,Residential,404900 CAD,5317 McKenna CRESCENT 
4,3,1982,5.01,Residential,839900 CAD,Bergheim Road Acreage 
5,3,1543,,Residential,469000 CAD,601 4th STREET W 
3,3,2160,.916,Residential,1249000 CAD,30 Chapa AVENUE 
5,3,2045,.165,Residential,549900 CAD,242 Auld CRESCENT 
5,5,3420,.525,Residential,1200000 CAD,51 Iron Bridge PLACE 
4,3,1642,.162,Residential,629900 CAD,604 Inver CRESCENT E 
4,3,2056,7.97,Residential,425000 CAD,Red Deer Hill Road Acreage 
4,4,1882,.116,Residential,599900 CAD,611 Lamarsh ROAD 
3,2,1446,.073,Residential,469900 CAD,2905 Angus STREET 
6,4,2693,0.15,Residential,580000 CAD,670 Jasper PLACE 
4,3,2100,.195,Residential,599900 CAD,134 Lakeside WAY 
4,4,3230,6.19,Residential,658000 CAD,13 Darby Lane 
