Beds,Bath,Sqft,Lot_Size,Type,Price,Address
5,4,3564,,Residential,1540000 CAD,8575 Cathedral Place 
2,3,1798,0.42,Residential,1998000 CAD,3514 Grilse Road 
4,3,2695,0.44,Residential,1579999 CAD,646 NANAIMO AVE E 
2,3,1500,0.28,Residential,1500000 CAD,101-452 LAKESHORE DRIVE 
6,4,5877,2.72,Residential,1785000 CAD,873 Rivers Edge Drive 
2,3,1500,0.28,Residential,1500000 CAD,102-452 LAKESHORE DRIVE 
5,3,4853,2.81,Residential,1999000 CAD,617 MOORPARK DRIVE 
3,2,3192,>7.1,Residential,1999900 CAD,2402 Silver King Road 
4,3,5705,.397,Residential,1699900 CAD,36111 SPYGLASS LANE 
4,,4181,7.89,Residential,1995000 CAD,2651 ALBERNI Hwy 
5,4,3779,.341,Residential,1699900 CAD,9950 Stonegate Place 
3,2,3033,>0.5,Residential,1980000 CAD,52704 PARKROSE WYND 
,,,,Residential,1530000 CAD,150 Street 
5,4,3504,.138,Residential,1700000 CAD,3642 Ridge View Terrace 
3,3,2324,0.27,Residential,1599999 CAD,1662 Koocanusa Lake Drive 
5,4,2785,.057,Residential,1789900 CAD,302 SECOND AVE 
2,3,3730,1.99,Residential,1575000 CAD,6901 Island Hwy W 
7,3,2392,.127,Single,1560800 CAD,7433 ELWELL STREET 
8,5,4026,.194,Single,1959000 CAD,3332 HOCKADAY PLACE 
4,2,2288,.161,Single,1988000 CAD,962 WHITCHURCH STREET 
8,5,2136,.116,Single,1999000 CAD,6571 TYNE STREET 
4,2,2260,.092,Single,1849000 CAD,5954 CHESTER STREET 
12,6,5019,.161,Single,1995000 CAD,8213 152 STREET 
8,4,3540,.167,Single,1688888 CAD,15275 111A AVENUE 
4,3,247572,.115,Single,1905000 CAD,12681 14B AVENUE 
6,4,2497,.092,Single,1645000 CAD,2928 E 6TH AVENUE 
7,4,3740,.147,Single,1550000 CAD,23180 123 AVENUE 
7,4,3483,.215,Single,1650000 CAD,13221 92 AVENUE 
4,2,1950,.095,Single,1500000 CAD,468 E 49TH AVENUE 
5,3,2669,.129,Single,1699000 CAD,1233 Oxford St 
4,3,2630,g>10,Single,1850000 CAD,119 Blue Stone Dr 
6,7,3848,.091,Single,1764900 CAD,14270 61B AVENUE 
6,5,3115,.138,Single,1695000 CAD,1660 COQUITLAM AVENUE 
5,3,2323,.191,Single,1588900 CAD,722 LINTON STREET 
6,5,3982,.139,Single,1688800 CAD,10977 155 STREET 
5,3,3269,.217,Single,1838000 CAD,1838 HARBOUR DRIVE 
4,2,1800,.094,Single,1999000 CAD,1776 LANGAN AVENUE 
3,2,2277,.154,Single,1759888 CAD,5640 SARDIS CRESCENT 
4,3,2926,.089,Single,1599000 CAD,1457 FORBES AVENUE 
5,4,2905,.185,Single,1898000 CAD,9 PARKWOOD PLACE 
7,4,2450,.092,Single,1895000 CAD,5543 ARGYLE STREET 
3,2,2172,.181,Single,1618000 CAD,1562 132 STREET 
4,4,2320,.335,Single,1550900 CAD,231 BAYVIEW ROAD 
8,5,3560,.206,Single,1699000 CAD,11351 136 STREET 
4,3,2978,3.16,Single,1599000 CAD,"7199 Bremmer Road, "
8,5,4174,.138,Single,1649000 CAD,16656 63B AVENUE 
7,4,4066,.166,Single,1888000 CAD,2475 NORTH ROAD 
5,3,2113,.166,Single,1699000 CAD,8251 FAIRBROOK CRESCENT 
6,5,3604,.083,Single,1963000 CAD,16789 18A AVENUE 
4,2,2360,.184,Single,1899000 CAD,2009 BOULEVARD CRESCENT 
3,2,1909,0.07,Residential,1649000 CAD,1601 E 4TH AVENUE 
4,4,3639,.158,Single,1949000 CAD,1566 Gladstone Ave 
7,6,3831,.092,Single,1649999 CAD,7690 146A STREET 
4,5,4435,.161,Single,1924700 CAD,2691 AQUILA DRIVE 
4,3,1928,,Residential,1698000 CAD,4106 PRINCE ALBERT STREET 
5,3,2489,.099,Single,1850000 CAD,3671 LAM DRIVE 
6,4,3322,.147,Single,1875000 CAD,8271 ASPIN DRIVE 
4,3,2499,.179,Single,1790000 CAD,1336 CORNELL AVENUE 
7,3,3133,.141,Single,1680000 CAD,3718 GEORGIA STREET 
6,4,2574,.101,Single,1599000 CAD,2549 E 41ST AVENUE 
7,6,4374,0.14,Single,1799900 CAD,16638 BELL ROAD 
3,3,2639,.194,Single,1750000 CAD,5390 WALLACE AVENUE 
5,3,2056,.165,Single,1798000 CAD,17 BEDINGFIELD STREET 
3,2,2000,.202,Single,1599900 CAD,13771 MALABAR AVENUE 
5,3,2304,.176,Single,1588000 CAD,284 HARVARD DRIVE 
6,4,2221,.092,Single,1990000 CAD,4465 FRANCES STREET 
4,3,2790,.141,Single,1735000 CAD,8940 DEMOREST DRIVE 
5,4,2564,0.08,Single,1589999 CAD,4769 RUPERT STREET 
3,2,1640,.262,Single,1975000 CAD,4700 PHEASANT PLACE 
8,5,3429,.167,Single,1500000 CAD,50484 KINGSTON DRIVE 
6,4,1914,0.08,Single,1599999 CAD,2686 WAVERLEY AVENUE 
6,5,3131,.147,Single,1998000 CAD,3191 SEDGEMOND PLACE 
4,3,2458,.094,Single,1799000 CAD,2080 CASSIAR STREET 
5,3,2880,.143,Single,1999000 CAD,3132 E 63RD AVENUE 
11,8,4630,.213,Single,1899900 CAD,14497 WELLINGTON DRIVE 
6,4,2819,.183,Single,1988888 CAD,14119 BLACKBURN AVENUE 
5,3,2728,.092,Single,1838000 CAD,6420 GRANVILLE AVENUE 
5,3,2362,0.15,Single,1620000 CAD,4411 BLUNDELL ROAD 
5,4,3700,.093,Single,1543000 CAD,6856 192A STREET 
5,4,3019,0.14,Single,1699900 CAD,2272 PITT RIVER ROAD 
5,3,2118,.092,Single,1699000 CAD,3861 SPRUCE STREET 
6,4,2545,.088,Single,1838000 CAD,3238 GRAVELEY STREET 
2,2,2041,,Residential,1650000 CAD,12208 Lakeshore Drive South 
4,5,4435,.161,Residential,1924700 CAD,2691 Aquila Drive 
3,3,,>1.1,Residential,2000000 CAD,782 Lakeview Road 
3,1,1971,>156,Residential,1500000 CAD,1795 Cambie Solsqua 
6,4,4110,0.47,Residential,1899000 CAD,448 Trumpeter Road 
2,3,1755,3.37,Residential,2000000 CAD,8295 Radium Golf Course Rd 
3,1,1376,>0.3,Residential,1750000 CAD,4760 60B Street 
4,3,2805,ng>2,Residential,1776000 CAD,7069 Old Kamloops Road 
,,,,Residential,1819000 CAD,4523 Hwy 97 
5,5,3622,ng>5,Residential,1600000 CAD,1250 Englishman River Rd 
4,3,3140,5.63,Residential,1599000 CAD,4702 Cedar Hill Road 
4,3,3362,0.17,Residential,1788000 CAD,414 Tulameen Road 
5,3,3120,>306,Residential,1975000 CAD,4685 Hwy 3 
6,5,4580,.148,Residential,1550000 CAD,6462 Fairway Street 
,,,,Residential,1699000 CAD,292 Bradner Road 
4,3,3426,0.25,Residential,1995000 CAD,901 Cobblestone Lane 
3,4,3752,>0.4,Residential,1900000 CAD,507 Trumpeter Road 
3,3,2822,2.69,Residential,1650000 CAD,521 Fourneau Way 
3,2,4511,0.23,Residential,1925000 CAD,5340 Signet Crescent 
5,3,2540,>0.5,Residential,2000000 CAD,9254 Rideau Ave. 
3,4,3766,3.51,Residential,1850000 CAD,360 SASQUATCH TRAIL 
3,3,,1.45,Residential,1500000 CAD,675 Kootenay Lagoon Road 
,,,,Residential,1798000 CAD,5965 Lytton Rd 
6,4,4214,0.43,Residential,1500000 CAD,156 Sendero Crescent 
3,2,1344,>0.3,Residential,1568000 CAD,4752 60B Street 
7,5,4300,.148,Residential,1799900 CAD,6462 Fairway Street 
4,3,3702,0.18,Residential,1988000 CAD,5615 Greenland Drive 
5,5,6946,ng>3,Residential,1650000 CAD,129 Boulder Beach Rd. 
4,3,2339,.075,Residential,1699000 CAD,3544 Marshall St 
4,4,3661,>2.1,Residential,1600000 CAD,9724 Aberdeen Road 
6,2,2148,0.19,Residential,1599000 CAD,507 Schoolhouse St 
3,4,3766,3.51,Residential,1850000 CAD,360 Sasquatch Trail 
2,1,750,>5.6,Farm,1749000 CAD,10303 12TH AVE 
3,2,2250,0.21,Residential,1995000 CAD,1021 Lawson Ave 
3,4,3800,0.35,Residential,1599000 CAD,8535 Tribune Terrace 
5,4,3241,g>40,Residential,1950000 CAD,7841 50 Avenue SW 
5,4,5086,.572,Residential,1525000 CAD,2794 Marble Hill Drive 
4,3,4382,,Residential,1750000 CAD,5-1429 West Kelowna Road 
4,2,2846,>160,Residential,1595000 CAD,841 CANYON CREEK ROAD 
2,3,2229,0.14,Residential,1748000 CAD,175 Valerian Lane 
5,2,1622,.242,Residential,1799000 CAD,946 160 St. 
4,3,2585,33.8,Residential,1895000 CAD,10611 Kalamalka Road 
4,4,4385,,Single,1798000 CAD,1311 133A STREET 
5,4,2523,.095,Single,1690000 CAD,134 LOOP 22981
3,2,2928,.161,Single,1800000 CAD,216 Robert St 
3,2,2277,1.49,Single,1590000 CAD,"7191 ISLAND WAY Road, "
5,3,2853,0.19,Single,1588000 CAD,1554 132B STREET 
4,2,1970,0.16,Single,1699000 CAD,75 N FELL AVENUE 
3,1,1066,.165,Single,1700000 CAD,14967 108 AVENUE 
5,4,3052,.165,Single,1699000 CAD,4154 Jagat Pl 
7,6,3666,.083,Single,1789000 CAD,5911 140B STREET 
5,4,6000,.329,Single,1799900 CAD,1986 QU'APPELLE BLVD 
7,6,3974,.076,Single,1599999 CAD,7121 206 STREET 
5,5,4785,0.32,Residential,1979000 CAD,2632 RHUM & EIGG DRIVE 
4,3,3424,0.17,Single,1699000 CAD,"562 Clifton Court, "
4,4,2425,.093,Single,1549000 CAD,15512 RUSSELL AVENUE 
3,2,2212,>9.8,Single,1500000 CAD,12620 256 STREET 
2,,3075,0.24,Residential,1590000 CAD,3284 Majestic Dr 
4,3,3298,>409,Single,1500000 CAD,1018 GILBERT NO. 1 ROAD 
5,3,2850,.247,Single,1898000 CAD,7955 SUNCREST DRIVE 
4,3,2930,.144,Single,1899000 CAD,4103 ST. GEORGES AVENUE 
3,3,1582,ng>1,Single,1899800 CAD,3855 WELWYN STREET 
4,5,3461,0.55,Single,1825000 CAD,316 Cudmore Rd 
3,3,2532,0.71,Single,1925000 CAD,17375 27A AVENUE 
6,4,4014,.132,Single,1749000 CAD,2927 MEADOWVISTA PLACE 
2,1,1152,5.47,Single,1575000 CAD,"4385 Copper Cove Road, "
3,3,2537,.382,Single,1997000 CAD,14012 68 AVENUE 
4,4,3522,0.28,Single,1895000 CAD,"3241 King Road, "
6,4,4269,1.19,Single,1895000 CAD,"179 LINDEN Avenue, "
4,3,3399,.475,Single,2000000 CAD,1283 Pintail Dr 
3,2,1718,.195,Single,1698000 CAD,3771 PORTLAND STREET 
4,3,2066,2.34,Single,1599000 CAD,39039 N PARALLEL ROAD 
5,3,2324,.092,Single,1728000 CAD,4508 GEORGIA STREET 
4,4,7668,1.02,Single,1799000 CAD,8531 NORTH NECHAKO ROAD 
4,4,4297,.238,Single,1690000 CAD,404 RIVERVIEW CRESCENT 
4,5,,ng>5,Single,1599000 CAD,3926 49TH STREET S 
6,3,2715,.096,Single,1799000 CAD,5079 GLADSTONE STREET 
3,3,2105,20.1,Single,1720000 CAD,"4328 Lansdowne Road, "
5,4,3154,>0.1,Single,1600000 CAD,2551 128A STREET 
4,3,3304,0.21,Single,1699900 CAD,"879 Clarance Avenue, "
4,1,2267,0.15,Single,1699900 CAD,5858 BRYANT STREET 
4,3,3350,.137,Single,1599000 CAD,9495 Maryland Dr 
6,2,2364,0.17,Single,1800000 CAD,10265 148A STREET 
2,1,1125,.508,Single,1580000 CAD,20890 42 AVENUE 
2,1,760,.081,Single,1539998 CAD,15416 COLUMBIA AVENUE 
7,5,4429,.145,Single,1799000 CAD,14867 76A AVENUE 
5,4,4194,.145,Single,1728000 CAD,134 RAVINE DRIVE 
4,3,4043,.158,Single,1799000 CAD,"4046 Gallaghers Terrace, "
3,2,1886,.181,Single,1550000 CAD,525 THIRTEENTH STREET 
