Beds,Bath,Sqft,Lot_Size,Type,Price,Address
5,3,2649,.122,Single,1379000 CAD,21433 90 AVENUE 
6,3,2631,0.18,Residential,849000 CAD,1576 DUNCAN AVE E 
4,4,3074,.081,Single,1399900 CAD,7089 200A STREET 
4,4,4114,.199,Single,1175000 CAD,1911 WOODSIDE BOULEVARD 1
3,2,1980,.301,Single,1069000 CAD,22612 124 AVENUE 
4,4,2261,.067,Single,1049900 CAD,5440 PEACH ROAD 
4,3,2236,0.25,Single,769000 CAD,"380 Madsen Road, "
5,4,4373,,Residential,1488000 CAD,33163 Hawthorne Avenue 
4,3,2031,0.09,Single,1288000 CAD,5231 OLIVER DRIVE 
4,4,2868,.099,Single,1250000 CAD,10750 BEECHAM PLACE 
3,2,1788,.136,Single,899900 CAD,5996 DEERFIELD CRESCENT 
5,3,2322,.183,Single,1399000 CAD,9725 130 STREET 
6,2,2381,.181,Single,1398000 CAD,10046 129 STREET 
4,4,3703,.166,Single,1475000 CAD,"1134 ELK Street, "
2,1,1490,0.22,Residential,725000 CAD,129 Jensen Ave E 
3,3,1724,.061,Single,1198000 CAD,9357 203 STREET 
4,3,2858,.595,Single,899900 CAD,"2720 20 Avenue, NE "
2,2,1469,.138,Single,849900 CAD,1960 CARNARVON St 
3,2,1196,.228,Single,998000 CAD,22343 124 AVENUE 
3,3,2666,.122,Single,1144800 CAD,"1960 Foxtail Terrace, "
4,3,2060,.092,Single,1299000 CAD,1206 HORNBY STREET 
3,3,2216,.165,Single,1249000 CAD,13119 66A AVENUE 
3,2,3701,1.97,Single,1249900 CAD,9910 DOYLE STREET 
4,4,3179,.252,Single,899900 CAD,9807 ANGUS DRIVE 
3,3,2545,.166,Single,1315900 CAD,50306 KENSINGTON DRIVE 
4,2,1456,.194,Single,989000 CAD,10842 143 STREET 
3,2,1379,.147,Single,949000 CAD,1549 Clawthorpe Ave 
4,3,2078,0.33,Single,1449000 CAD,4561 UPLANDS DRIVE 
4,3,1892,.199,Single,999900 CAD,21259 DOUGLAS AVENUE 
4,2,2287,.203,Single,1049000 CAD,2901 MCCALLUM ROAD 
6,6,4124,,Single,1279700 CAD,"1790 CROSBY Road, "
3,2,1772,1.15,Single,999999 CAD,567 Windthrop Rd A
4,3,2046,.179,Single,899900 CAD,26920 29 AVENUE 
4,4,2577,.092,Single,1199000 CAD,24375 112B AVENUE 
5,3,2335,.171,Single,969900 CAD,35293 KNOX CRESCENT 
5,2,2260,,Residential,750000 CAD,130 Robson Road E 
6,4,2818,.078,Single,1300000 CAD,4476 STEPHEN LEACOCK DRIVE 
3,2,2145,0.18,Single,849900 CAD,951 Jasmine Ave 
4,3,2489,0.49,Single,1149999 CAD,3832 KAREN DRIVE 
4,2,2558,0.79,Single,749900 CAD,3465 Willshire Rd 
4,3,2458,.148,Single,1199900 CAD,10440 GLENMOOR PLACE 
4,4,1989,.067,Single,1070000 CAD,5412 PEACH ROAD 
6,3,2451,.147,Single,1149900 CAD,3555 DAVIE STREET 
6,4,3112,0.07,Single,1348000 CAD,7225 202A STREET 
5,3,2196,.145,Single,799900 CAD,565 Marisa St 
4,3,2173,.316,Single,899000 CAD,4551 Viewmont Ave 
5,3,1111,0.12,Single,1099000 CAD,"1259 Richter Street, "
3,3,2848,.256,Single,1200000 CAD,958 Royal Oak Dr 
3,1,1460,.188,Single,979000 CAD,19995 50A AVENUE 
3,3,2198,.164,Single,1399999 CAD,16043 10A AVENUE 
4,2,1610,.224,Single,999000 CAD,33786 MAYFAIR AVENUE 
2,2,1291,0.13,Single,789000 CAD,"941 8 Avenue, NE "
3,3,2704,.162,Single,1499000 CAD,4151 LANCELOT DRIVE 
5,3,1951,1.64,Single,1125000 CAD,8528 DUNN STREET 
4,2,1948,.145,Single,1299999 CAD,11389 86A AVENUE 
4,4,3703,0.17,Residential,1475000 CAD,1134 Elk Street 
4,3,2816,.274,Single,1199000 CAD,"636 Thorneloe Road, "
5,2,3108,4.54,Single,929000 CAD,"105 Grove Road, "
3,1,1059,.086,Single,799900 CAD,34705 4TH AVENUE 
5,3,2596,.257,Single,1099000 CAD,19793 38A AVENUE 
5,3,3011,.177,Single,1299000 CAD,36034 EMPRESS DRIVE 
4,4,2335,0.55,Single,1499000 CAD,558 Birch Rd 
4,5,2960,.074,Single,1389000 CAD,34868 ACKERMAN COURT 
3,2,1545,0.16,Residential,700000 CAD,2664 Jasmine Pt 
4,3,2034,.138,Single,1490000 CAD,10680 ROCHDALE DRIVE 
2,3,2575,0.26,Residential,959000 CAD,3151 Klanawa Cres 
4,3,2600,.208,Single,1299000 CAD,1463 54 STREET 
4,3,2055,.168,Single,1390000 CAD,13362 98B AVENUE 
3,2,1672,.216,Single,1150000 CAD,8495 BROOKE ROAD 
5,3,2594,.217,Single,1499000 CAD,13792 112 AVENUE 
4,3,2664,>2.5,Single,1499000 CAD,47631 FORESTER ROAD 
6,4,2953,.177,Single,1499000 CAD,7882 141B STREET 
4,2,1785,.165,Residential,1349000 CAD,14072 - 18a Avenue 
3,2,1677,.174,Single,1289000 CAD,5839 185A STREET 
3,3,3244,0.19,Single,1150000 CAD,323 CHINO PLACE 
5,3,2242,.142,Single,1198800 CAD,1020 HOY STREET 
8,5,3182,.165,Single,1299000 CAD,13170 112 AVENUE 
3,2,1166,>6.3,Single,799900 CAD,6765 ASHCROFT ROAD 
4,3,2206,.138,Single,949000 CAD,7978 HURD STREET 
4,2,2230,0.44,Residential,729000 CAD,2077 Lakeside Dr 
4,2,2021,.082,Single,1498000 CAD,2558 WILLIAM STREET 
8,5,3429,.167,Single,1500000 CAD,50484 KINGSTON DRIVE 
5,3,3100,.117,Single,925000 CAD,2200 DOUBLETREE CRES 
2,2,2150,2.04,Single,879900 CAD,Lot 31 Smithers Rd 
5,3,2270,,Residential,749000 CAD,12620 Reynolds Avenue 
3,3,2357,.108,Single,1229000 CAD,19594 SUTTON AVENUE 
3,3,2116,.057,Single,999000 CAD,12532 190A STREET 
4,3,2526,.096,Single,1029900 CAD,7196 EVANS ROAD 9
5,4,3009,.117,Single,1188888 CAD,550 EDINBURGH CRT 
3,3,2609,0.57,Single,1388000 CAD,815 Ardmore Dr 
3,2,1888,.189,Single,829900 CAD,46042 BROOKS AVENUE 
4,3,2177,0.14,Single,759900 CAD,"1009 MANITOBA Street, "
4,1,1545,.249,Single,1317000 CAD,19939 35A AVENUE 
5,2,2660,.169,Single,999000 CAD,31660 SOUTHDALE CRESCENT 
3,2,3312,1.07,Single,825000 CAD,1253 Shawnigan-Mill Bay Rd 
3,2,2128,>0.2,Single,995000 CAD,3261 Majestic Dr 
4,3,3000,.089,Single,1080000 CAD,46211 PROMONTORY ROAD 40
3,2,4289,.177,Single,1195000 CAD,1033 Alder St S 
3,2,1979,.159,Single,1450000 CAD,10711 ROSELEA CRESCENT 
4,3,2476,0.15,Single,779000 CAD,"978 Mt. Beaven Court, "
4,3,2288,.149,Single,729000 CAD,2130 Aaron Way 
5,1,1777,ng>1,Single,1499000 CAD,33475 DEWDNEY TRUNK ROAD 
3,3,4068,0.11,Single,950000 CAD,4320 Garrod Rd 3
6,4,2838,.078,Single,1224800 CAD,4434 STEPHEN LEACOCK DRIVE 
2,1,1878,.903,Single,1299900 CAD,12374 DAVISON STREET 
4,3,4813,0.18,Single,1495000 CAD,"4157 Gallaghers Boulevard, S "
3,3,1935,.164,Single,1498800 CAD,2345 HAVERSLEY AVENUE 
4,2,1964,.174,Single,898888 CAD,8565 BROADWAY STREET 
2,1,875,.093,Single,1399900 CAD,3820 NAPIER STREET 
5,3,2793,.183,Single,899000 CAD,1024 Tolmie Ave 
5,4,3155,.085,Single,1399999 CAD,7879 170 STREET 
4,3,2749,.105,Single,1199900 CAD,23027 CLIFF AVENUE 
2,1,1023,.066,Single,1088000 CAD,940 IOCO ROAD 
6,4,2083,.083,Single,1465000 CAD,6594 FREDERICK STREET 
2,2,1877,0.64,Single,1287000 CAD,"2456 NARAMATA Road, "
3,2,1610,.366,Single,992888 CAD,"7210 Dunwaters Road, "
5,2,2314,.171,Single,949900 CAD,8971 NOWELL STREET 
4,2,2020,0.26,Residential,839900 CAD,12432 Victoria Rd S 
4,3,2007,.132,Single,1249900 CAD,11802 80A AVENUE 
3,2,1505,0.15,Single,789900 CAD,46821 PORTAGE AVENUE 
4,2,1826,.227,Single,999999 CAD,1919 CORDOVA COURT 
8,3,3920,.194,Single,1099000 CAD,2311 CLARKE DRIVE 
3,3,1710,.097,Single,1098888 CAD,15576 96B AVENUE 
6,5,3590,.081,Single,1439900 CAD,7211 202A STREET 
5,2,2660,0.26,Single,750000 CAD,"130 Robson Road, E "
5,4,3695,>0.2,Single,1450000 CAD,10041 MAGNOLIA PLACE 
4,4,2892,0.33,Single,1499900 CAD,50930 YALE ROAD 
2,2,,,Residential,725000 CAD,205-711 W 14th St 
3,3,2002,,Residential,759000 CAD,1441 20th Avenue SE 
5,2,2790,g>39,Residential,750000 CAD,16711 Crawford Creek Road 
5,3,2512,0.15,Residential,989000 CAD,2038 LAWRENCE AVE 
1,1,605,>0.2,Residential,1400000 CAD,8815 Okanagan Landing Road 
5,2,1684,0.11,Residential,749000 CAD,#4 1441 20 Avenue SE 
5,3,2267,,Residential,1150000 CAD,2260 Richter Street 
2,2,1924,0.24,Residential,1250000 CAD,1308 Trevor Street 
4,1,,,Residential,899000 CAD,"10975 Okanagan Centre Road, E "
3,3,3215,1.15,Residential,1399900 CAD,128 Oak Street 
1,2,2080,1.02,Residential,749000 CAD,2897 Sunshine Coast Highway 
3,2,1027,>0.5,Residential,839000 CAD,1609 43 Avenue 
4,2,2664,,Residential,807700 CAD,46157 STONEVIEW DRIVE 
3,1,1854,,Residential,789900 CAD,3049 Millgrove Street 
4,3,2602,0.17,Residential,909900 CAD,2247 Saddleback Drive 
,,,,Residential,1300000 CAD,7.25 Acres in Ok Fall 
4,2,5169,>126,Residential,1445000 CAD,14939 Old Tete Jaune Rd 
5,4,3320,0.15,Residential,1248000 CAD,471 Swan Drive 
3,3,2561,,Residential,1100000 CAD,1274 Modern Place 
4,3,2070,,Residential,789000 CAD,3840 Bryan Road 
4,3,2356,>2.6,Other,1175000 CAD,3292 Henry Road 
4,2,2138,,Residential,888000 CAD,7561 Sapphire Drive 
3,2,2046,2.05,Farm,1399000 CAD,50935 Yale Road 
3,1,1971,>156,Residential,1500000 CAD,1795 Cambie Solsqua 
5,3,2714,,Residential,1200000 CAD,421 Fortress crescent 
3,2,1248,2.86,Residential,799900 CAD,190 CARIBOU CRES. 
5,3,2212,0.24,Residential,749000 CAD,5128 Chute Lake Road-- INCOME GENERNATE / HOUSE SWAP OPTION 
4,4,2970,0.22,Residential,739987 CAD,2142 Michelle Crescent 
4,3,3022,,Residential,1499900 CAD,3505 McCulloch Road 
4,2,1872,,Residential,799900 CAD,2675 Ayr Place 
3,1,1910,,Residential,849900 CAD,7541 MELVILLE STREET 
4,3,2097,0.33,Residential,849000 CAD,25 Husband Place 
,,2557,,Residential,1349000 CAD,2760 Yankee Flats rd. 
4,2,2123,0.14,Residential,749000 CAD,620 Hody Drive 
3,3,2985,0.17,Residential,1499000 CAD,9448 Ledgestone Road 
5,3,3856,4.94,Residential,887000 CAD,15 East Poirier Road 
,,,,Residential,1100000 CAD,11339 Bottom Wood Lake Road 
5,3,2350,0.33,Residential,819800 CAD,9842 Hill Drive 
,,,0.19,Residential,788000 CAD,5909 Cosens Bay Road 
4,2,3326,0.29,Residential,1388000 CAD,3503 Seabluff Lane 
,,,,Residential,757000 CAD,3960 Phillips RD 
4,2,1920,.318,Residential,849900 CAD,34608 Immel Street 
,,,0.35,Residential,765000 CAD,116 Pine Avenue 
5,5,2700,0.85,Residential,965000 CAD,216 TWIN LAKES ROAD 
6,4,3102,0.19,Residential,960000 CAD,10890 PRIOR PLACE 
5,3,2680,,Residential,950000 CAD,2538 Copper Ridge Drive 
5,5,3664,,Residential,989900 CAD,9547 Robson Crescent 
3,1,1100,1.32,Residential,950000 CAD,3117 Van Horne Rd 
2,1,2028,0.41,Residential,859000 CAD,1645 Agassiz Rosedale No. 9 HWY 
3,3,1990,4.83,Residential,1099000 CAD,660 Beecroft Ave 
3,3,2447,0.23,Residential,885000 CAD,13680 Kickwillie Loop Road 
3,2,1731,0.18,Residential,869000 CAD,786 Chestnut Street 
3,3,2920,>0.1,Residential,774900 CAD,142-641 Shuswap Rd E 
2,1,1484,0.88,Residential,738000 CAD,613 VEDETTE DRIVE 
4,3,3981,0.35,Residential,1079000 CAD,100 Wavell Rd 
4,4,3521,.289,Residential,1425000 CAD,1886 Greywolf Drive 
4,2,2393,>0.5,Residential,799900 CAD,1400 GREEN LAKE ROAD 
4,2,2493,0.48,Residential,1400000 CAD,3921 Ronald Ave 
2,1,1111,0.19,Residential,720000 CAD,196 ECKHARDT AVE W 
4,2,3420,,Residential,749000 CAD,1807 Victoria Ave 
2,3,1555,0.24,Residential,919000 CAD,1576 Islandview Drive 
5,3,3978,0.27,Residential,1389000 CAD,178 Terrace Hill Court 
6,4,4094,0.16,Residential,1295000 CAD,488 EDINBURGH BLVD 
4,2,2250,0.46,Residential,756000 CAD,1431 Grenfell Place 
4,4,3367,0.24,Residential,934900 CAD,1548 ASSINIBOINE RD 
4,3,2226,,Residential,1348000 CAD,"18355 56B Avenue, Surrey, BC "
2,3,2610,0.16,Residential,950000 CAD,6833 
4,3,2810,,Residential,945000 CAD,2180 Shamrock Drive 
8,4,3604,>0.2,Residential,1200000 CAD,580 BALSAM AVE 
3,4,2708,0.27,Residential,1200000 CAD,1174 ELK STREET 
2,3,1884,,Residential,850000 CAD,#65 714 Riverside Avenue 
2,3,7700,>1.7,Other,899000 CAD,1610 Maier Road 
3,2,1926,10.7,Residential,1450000 CAD,7386 Lynch Road 
2,2,1121,,Residential,730000 CAD,5725 Teredo St. 
5,5,4000,0.39,Residential,1050000 CAD,862 Toovey Road 
4,3,2706,5.22,Residential,1375000 CAD,524 McLeish Road 
3,2,2045,,Residential,748500 CAD,1671 Koocanusa Lake Drive 
5,2,2550,,Residential,799900 CAD,10190 HYMAR DRIVE 
3,2,1640,4.94,Residential,949000 CAD,1224 Errington Rd 
6,4,3753,,Residential,1488000 CAD,6826 -198B Street 
8,3,3040,,Residential,1000000 CAD,3366-3368 McIver Road 
2,2,1180,,Residential,788000 CAD,4825 Hazel St 
3,2,1887,,Residential,1049000 CAD,3221 Klanawa Crescent 
4,4,286,,Residential,940000 CAD,838 Westview Way 
5,4,3485,0.19,Residential,1115800 CAD,6221 HIGHWOOD Dr 
9,5,3980,2.98,Residential,1299000 CAD,306 Sportsmans Bowl Road 
,,,,Residential,1475000 CAD,15276 Columbia Ave 
4,,2839,,Residential,884900 CAD,2077 Rose Tree Road 
3,2,3337,,Residential,849900 CAD,635 ST PAUL STREET 
4,3,2687,,Residential,850000 CAD,5166 Morrison Crescent 
3,3,5561,0.55,Residential,949900 CAD,3537 Mount Royal Drive 
4,3,3030,9.25,Residential,1249900 CAD,4767 97A 
5,4,2902,0.08,Residential,950000 CAD,908 Holden Road 
3,3,2920,0.29,Residential,869000 CAD,100 Hornby Place 
4,6,,9.75,Residential,1499900 CAD,4261 Toby Creek Rd 
3,3,2865,0.19,Residential,1195000 CAD,1592 Merlot Drive 
4,3,3622,,Residential,899000 CAD,1118 ST ANDREWS WAY 
3,3,,1.45,Residential,1500000 CAD,675 Kootenay Lagoon Road 
5,3,,4.52,Residential,1450000 CAD,1022 Hecker Rd 
4,3,2796,,Residential,974000 CAD,782 Nahanni Place 
9,5,4191,0.11,Residential,1094000 CAD,4503 23 Street 
4,2,2109,>0.2,Residential,1198000 CAD,563 Ridgefield Dr 
,,,,Residential,1250000 CAD,3068 Yankee Flats Road 
3,2,3673,3.98,Residential,1250000 CAD,4764 Anderson Rd 
,,,,Residential,1149000 CAD,7979 Aspen Road 
3,4,3160,3.16,Residential,1249900 CAD,330 SASQUATCH TRAIL 
6,4,4214,0.43,Residential,1500000 CAD,156 Sendero Crescent 
5,4,3434,0.33,Residential,1450000 CAD,10002 Giants Head Road 
6,3,3293,,Residential,1200000 CAD,5872 GARRISON BOULEVARD 
4,3,2968,,Residential,899900 CAD,164 Applecrest Court 
4,5,6217,,Residential,1250000 CAD,2307 5 Avenue SE 
,,,0.55,Residential,1350000 CAD,7716 Tronson Road 
3,2,3780,,Residential,998900 CAD,1990 High Schylea Drive 
5,3,3600,17.2,Residential,989900 CAD,5280 Highway 6 
3,2,1464,.471,Residential,774900 CAD,4814 Lake Rd 
3,2,1875,0.49,Residential,899000 CAD,130 Northdowne Rd 
3,3,1500,1.06,Residential,799900 CAD,344 LAKEHILL ROAD 
4,2,2076,,Residential,729000 CAD,960 Raymer 
4,3,1717,0.35,Residential,895000 CAD,8-555 WADE AVE E 
3,3,2512,,Residential,850000 CAD,167 Bayridge Pl 
5,6,3800,4.97,Residential,1349000 CAD,5800 Ranch Road 
3,3,5000,2.14,Residential,900000 CAD,5325 Riding Club Road 
3,2,1719,0.08,Residential,728999 CAD,1394 Bernard Avenue 
3,3,,ng>2,Residential,880000 CAD,220 Sitka Road 
4,3,2462,0.25,Residential,1329900 CAD,1378 Mine Hill Lane 
4,2,2202,ng>5,Residential,999900 CAD,985 Old N Thompson Hwy 
4,3,3842,0.21,Residential,1249000 CAD,875 View Ave 
3,2,1687,.233,Residential,1099000 CAD,4806 Cordova Bay Road 
3,2,1451,0.14,Residential,710000 CAD,609 Banks Avenue West 
4,3,2232,,Residential,850000 CAD,45364 TAMIHI WAY 
5,4,2849,0.17,Residential,898000 CAD,9817 Spencer Lane 
6,3,3463,,Residential,1000000 CAD,1627 Scott Crescent 
2,3,2400,0.35,Residential,899000 CAD,184 LAUREL PLACE 
5,3,3200,,Residential,800000 CAD,2154 Michelle Crescent 
4,3,2826,0.17,Residential,1399900 CAD,1747 Newport Road 
4,3,2268,0.24,Residential,799000 CAD,158 STEWARD PLACE 
5,3,2496,,Residential,919900 CAD,1603 LADNER RD 
,,,,Residential,749000 CAD,3304 32 Street 
,,,0.35,Residential,729000 CAD,3462 Redden Rd 
5,3,3182,1.95,Residential,979000 CAD,23 Goat Mountain Road 
3,2,1100,,Residential,729000 CAD,6906-Barcelona Drive 
3,3,2498,0.11,Residential,949000 CAD,1082 Syer Road 
,,,,Residential,1200000 CAD,km 55 Christian Valley rd. 
5,4,3434,0.18,Residential,1190000 CAD,12882 Apex Drive 
5,3,3254,0.22,Residential,849900 CAD,973 Garymede Crt 
3,2,1475,0.09,Residential,749000 CAD,410 ALEXANDER AVE 
3,3,2646,0.14,Residential,915000 CAD,187 Sunningdale Rd W 
4,3,2240,0.44,Residential,1250000 CAD,633 McClure Road 
8,9,3824,0.22,Residential,970000 CAD,168 KIRKPATRICK AVE 
4,2,3037,1.09,Residential,849900 CAD,264 Elliott Road 
8,2,2307,1.35,Residential,888000 CAD,Lot 1 Pete Martin Bay 
4,3,2339,0.26,Residential,949900 CAD,"3827-35TH STREET, OSOYOOS "
3,2,3460,0.24,Residential,1198000 CAD,2296 Lillooet Crescent 
3,2,1860,0.34,Residential,988000 CAD,2840 Gosnell Road 
3,3,3100,,Residential,749900 CAD,334-641 SHUSWAP RD 
6,4,4500,4.94,Residential,1290000 CAD,Stunning lake view executive home - Salmon Arm 
3,2,2044,.287,Residential,1275000 CAD,3205 Klanawa Crescent 
5,4,2988,,Residential,798900 CAD,2577 Sandstone Circle 
2,2,1846,0.19,Residential,849900 CAD,274 PENTICTON AVE 
,,,,Residential,1288888 CAD,4323 MILLER STREET 
6,3,2835,g>15,Residential,750000 CAD,275 Mitchell Bay Rd 
4,4,3945,>0.6,Residential,1295000 CAD,6844 Kensington Rd 
2,2,940,,Residential,1149900 CAD,5449 Killarney Street 
4,3,3379,0.14,Residential,899999 CAD,1651 FAIRFORD DRIVE 
3,1,,,Residential,759900 CAD,9683 WILLIAMS STREET 
5,4,2804,0.17,Residential,1150000 CAD,1164 ELK STREET 
4,2,2226,>0.2,Residential,999000 CAD,496 Eldorado Road 
2,3,1605,,Residential,788000 CAD,170 Silver Lode Lane 
4,3,2625,.161,Residential,1349000 CAD,1174 Silversmith Place 
4,3,2058,,Residential,874900 CAD,45740 TIMOTHY AVENUE 
,,,,Residential,999999 CAD,3662 Smith Road 
2,2,2185,10.6,Residential,1299900 CAD,28 NINE MILE PLACE 
4,3,2392,0.35,Residential,749900 CAD,1294 Lamar Drive 
3,2,3009,,Residential,1250000 CAD,46563 RIVERSIDE DRIVE 
,,,,Residential,999000 CAD,Klanawa Crescent 
3,3,2619,0.12,Residential,799900 CAD,159-1675 PENTICTON AVE 
4,2,3453,5.05,Residential,1149000 CAD,8263 Rogers Road 
3,2,,,Residential,1245000 CAD,3815 hwy 33 
2,1,1556,,Residential,1195000 CAD,4026 Island Hwy S 
3,2,2200,,Residential,859000 CAD,3490 Conroy Rd 
4,3,2899,0.19,Residential,1199000 CAD,#1 1117 Mt. Fosthall Drive 
,,,4.97,Residential,899900 CAD,1462 Highway 6 
6,4,3011,,Residential,924900 CAD,9760 WILLIAMS STREET 
5,4,3873,0.25,Residential,1158000 CAD,1127 Cloke Rd 
5,2,2206,8.62,Residential,945000 CAD,3305 Hwy 3 
4,3,3540,2.17,Residential,1075000 CAD,3224 Holbrook Rd 
