Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,1.0,1179.0,,Single,41500,"19, 134 Village Way 19",AB,Prairie Provinces
3.0,1.0,1176.0,1.43,Residential,69000,4614 50 Street ,AB,Prairie Provinces
3.0,1.0,932.0,.138,Single,114000,#216 2nd Avenue  SW ,AB,Prairie Provinces
1.0,1.0,825.0,0.12,Single,449000,252 19 Avenue NE ,AB,Prairie Provinces
4.0,5.0,2228.0,.175,Single,874900,15906 103 Street ,AB,Prairie Provinces
2.0,1.0,1360031.0,,Single,29500,305 CALAHOO RD 124,AB,Prairie Provinces
2.0,,3666972.0,0.99,Single,550000,"1, 465021 Rge Rd 61 - Greystones 1",AB,Prairie Provinces
5.0,4.0,2198.0,>0.2,Residential,629000,212 Lake Stafford Drive E ,AB,Prairie Provinces
4.0,2.0,1823.0,0.21,Residential,279000,5218 53 Street ,AB,Prairie Provinces
3.0,3.0,1749042.0,>0.4,Single,589000,5028 Lakeview DR ,AB,Prairie Provinces
2.0,1.0,866.0,,Other,49500,6834 59 Avenue 107,AB,Prairie Provinces
3.0,4.0,1832033.0,.157,Single,1050000,31 EASTON CL ,AB,Prairie Provinces
4.0,1.0,1266169.0,0.41,Single,295000,52059 RGE RD 220 84,AB,Prairie Provinces
6.0,5.0,2816.0,6.16,Single,1499999,35156 Township Road 262 ,AB,Prairie Provinces
5.0,6.0,4629.0,3.14,Single,2199800,61035A Township Road 704A ,AB,Prairie Provinces
3.0,2.0,1155.0,,Single,59000,"128, 812 6 Avenue SW 128",AB,Prairie Provinces
1.0,1.0,897.0,0.16,Residential,70000,4901 53 Avenue ,AB,Prairie Provinces
3.0,2.0,1200.0,,Single,72900,"124, 404 6 Avenue 124",AB,Prairie Provinces
4.0,3.0,1851.0,1.08,Residential,547000,150 9 Street NW ,AB,Prairie Provinces
3.0,1.0,169535.0,.429,Single,350000,11330 86 Street SE ,AB,Prairie Provinces
3.0,3.0,1821.0,0.52,Residential,212000,28 Selkirk Avenue ,AB,Prairie Provinces
5.0,4.0,1887.0,.358,Single,420000,4 Sunset Drive ,AB,Prairie Provinces
2.0,2.0,1296.0,.551,Single,210000,221 2 Avenue ,AB,Prairie Provinces
4.0,3.0,1452.0,>0.2,Residential,699999,7404 Elbow Drive SW ,AB,Prairie Provinces
4.0,3.0,1535.0,3.44,Single,269000,104051 HWY 671 Highway 18,AB,Prairie Provinces
5.0,3.0,1321.0,ng>2,Single,455000,56416 Range Rd 142 ,AB,Prairie Provinces
4.0,2.0,972.0,0.65,Single,79900,740 Highway 103,AB,Prairie Provinces
3.0,2.0,20772.0,6.85,Single,1899000,230146 Rge Rd 51A,AB,Prairie Provinces
3.0,2.0,1151748.0,,Single,108000,309 Maple Wood DR NW ,AB,Prairie Provinces
3.0,1.0,1466.0,.138,Single,55000,#222 4th Avenue SW ,AB,Prairie Provinces
2.0,2.0,1790.0,0.55,Residential,129000,103 3 Street ,AB,Prairie Provinces
4.0,4.0,3559117.0,3.11,Single,949900,472016 RGE RD 241,AB,Prairie Provinces
2.0,1.0,1450.0,ng>4,Single,349900,"1-3, 26016 Highway 11 ",AB,Prairie Provinces
3.0,1.0,816019.0,,Single,59900,53 AV 5011,AB,Prairie Provinces
2.0,1.0,68091.0,.126,Single,90000,236 First Avenue W ,AB,Prairie Provinces
4.0,3.0,1188.0,0.21,Residential,199000,4615 49 Street ,AB,Prairie Provinces
3.0,1.0,972743.0,,Single,39900,578 Evergreen ST NW ,AB,Prairie Provinces
3.0,2.0,1170.0,.157,Single,195000,10506 99 Ave ,AB,Prairie Provinces
1.0,1.0,980.0,,Single,42000,"46, 9301 102 Street 46",AB,Prairie Provinces
5.0,4.0,3019948.0,0.55,Single,899900,51025 RGE RD 222 22,AB,Prairie Provinces
7.0,10.0,5841.0,9.17,Residential,2900000,40090 Retreat Road ,AB,Prairie Provinces
3.0,3.0,2400.0,5.75,Single,1695000,653094 Range Road 173.3 Range ,AB,Prairie Provinces
7.0,4.0,28434.0,1.38,Single,899900,53105 Highway 47 ,AB,Prairie Provinces
2.0,1.0,8838.0,.208,Single,179000,128 Dufferin Street ,AB,Prairie Provinces
5.0,6.0,845782.0,0.48,Residential,1975000,95037 Range Rd. Other S ,AB,Prairie Provinces
2.0,2.0,830.0,0.28,Single,259000,5019 49 Avenue ,AB,Prairie Provinces
3.0,3.0,1224405.0,.126,Single,299900,11612 145 AV NW ,AB,Prairie Provinces
3.0,1.0,1073.0,,Single,89000,"239, 133 Jarvis Street 239",AB,Prairie Provinces
4.0,1.0,111925.0,0.14,Single,164900,5018 47 Street ,AB,Prairie Provinces
3.0,3.0,1256.0,.155,Single,88000,4928 58  Avenue ,AB,Prairie Provinces
1.0,1.0,3667.0,0.99,Single,550000,"1, 465021 Range Road 61 1",AB,Prairie Provinces
3.0,1.0,672.0,0.14,Residential,105000,5102 52 Street ,AB,Prairie Provinces
3.0,2.0,1322.0,14.8,Single,360000,14541 TWP Rd 28-4 ,AB,Prairie Provinces
