Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,2,,,Residential,659900 CAD,330 Rathburn Rd W 
3,2,,,Residential,669900 CAD,2701 Aquitaine Ave 70 
3,3,,,Residential,625000 CAD,"Jack Nash Dr, London, ON "
3,2,,,Residential,700000 CAD,30 Roundhay Dr 
2,1,,,Residential,649999 CAD,3683 Frances Street 
4,2,1050,,Residential,589900 CAD,2957 Loyalist Avenue 
3,2,,,Residential,599000 CAD,579 Wild Shore Crescent 
2,2,,,Residential,550000 CAD,"540 Davis Dr W, Newmarket "
,,,,Residential,599900 CAD,12682 LANOUE STREET 
,,,,Residential,600000 CAD,5850 MITCH OWENS RD 
3,2,1216,,Residential,599900 CAD,6 Howard Avenue 
2,2,,,Residential,649000 CAD,2484 Post Rd 10 
3,1,,,Residential,699000 CAD,1485 Owl's Nest Rd Alban 
3,2,1050,,Residential,599900 CAD,86 Parkway 
3,1,1152,3.12,Residential,699900 CAD,1021 Oakhill Blvd 
4,2,2200,,Residential,649000 CAD,149 Cambridge Road E 
3,3,,,Residential,598998 CAD,155 Vail Meadows Cres 
4,2,2450,0.58,Residential,549000 CAD,417 Cordingley Cres. 
3,,1400,,Residential,529000 CAD,018927 - BRUCE ROAD #10 
4,2,2400,,Residential,699900 CAD,40 Lindbergh Drive 
4,2,1100,,Residential,549777 CAD,37 GLENWOOD Road 
3,2,1025,,Residential,599900 CAD,93 SILVER Street 
2,2,,,Residential,659900 CAD,5 BILLINGHAM CRES 
3,3,,,Residential,649900 CAD,51 Redfern Cres 
3,3,,,Residential,674900 CAD,803 Mikinak Road 
3,2,,,Residential,699000 CAD,"617 Dundee Ave, Oshawa, Ontario "
3,2,1052,,Residential,550000 CAD,3 NICKOLAS Crescent 
3,2,,,Residential,695000 CAD,40 Eastpark Drive 
4,2,,,Residential,579900 CAD,1187 Skylark Cres 
3,3,,,Residential,699000 CAD,50 Wicker Park Way 
2,1,745,,Residential,549500 CAD,154 ALICE Street 
,,,,Residential,649000 CAD,Hwy 10 & Burnhamthorpe 
3,2,1264,,Residential,629900 CAD,95 PARKVIEW Crescent 
3,3,,,Residential,699999 CAD,25 Benjamin Way 
3,,900,.098,Residential,695800 CAD,329 LEE Circle 
3,3,,,Residential,699900 CAD,775 Griffith St 
3,2,1094,,Residential,670000 CAD,8101 Pinellas Park Drive 
4,2,1600,,Residential,599900 CAD,226 High Street 
3,1,1327,,Residential,550000 CAD,287 WILMOT Street 
4,2,,,Residential,589900 CAD,1144 Trowbridge Crt 
2,3,,,Residential,659900 CAD,5615 Oscar Peterson Blvd 1 
3,2,,,Residential,599900 CAD,No address available 
3,1,,>125,Residential,579000 CAD,307 Parkwood Ave 
3,1,1855,,Residential,649900 CAD,740 ROGERS Road 
3,2,1150,,Residential,599500 CAD,4420 Queensway Gardens 
3,1,1417,,Residential,699900 CAD,111 St. Paul Crescent 
3,3,,,Residential,699999 CAD,12 Maidstone Way 
3,3,,,Residential,599900 CAD,70 John Matthew Cres 
4,3,,,Residential,639999 CAD,100 Aquatic Ballet Path 
4,2,1508,,Residential,699800 CAD,5269 Palmer Ave 
3,1,1628,,Residential,599900 CAD,70 WILLOWRUN Drive Unit #C2 
3,4,,,Residential,699900 CAD,No address available 
3,1,1226,,Residential,599000 CAD,61 LAUREL Street 
4,2,2500,,Residential,669900 CAD,341 Ridgeway Road 
4,2,1671,,Residential,647900 CAD,47 SIMCOE Street 
3,1,1397,,Residential,659900 CAD,24 PEEL Street W 
3,1,1071,,Residential,650000 CAD,312 KARN Street 
4,2,2605,,Residential,625000 CAD,244 Floud's Bridge Road 
4,,1400,,Residential,590000 CAD,3 Longfellow Avenue 
3,1,1780,,Residential,599900 CAD,221 SPRINGBANK Avenue 
3,3,,,Residential,598998 CAD,155 Vail Meadows Cres 
3,2,,,Residential,539888 CAD,No address available 
3,3,,,Residential,689900 CAD,"Elora, Ontario "
3,2,,,Residential,699900 CAD,377 GARFIELD Street 
3,2,,,Residential,525000 CAD,60 Main St 
4,2,1875,",016",Residential,650000 CAD,195 LAURENTIAN Drive 
3,3,,,Residential,649898 CAD,No address available 
,,,,Residential,569000 CAD,736 Bay Street 
3,1,941,,Residential,579900 CAD,20 BYRNE Street 
3,2,,,Residential,699900 CAD,34 Angus Dr 
3,2,1395,,Residential,589000 CAD,176 FERGUSON Drive Unit #11 
4,2,1327,,Residential,695000 CAD,12 Bolger Drive 
3,3,,,Residential,629900 CAD,63 Cryderman Lane 
5,2,,,Residential,599900 CAD,673 Shakespeare Ave 
4,2,1140,,Residential,524900 CAD,16698 Highway 2 
3,1,1570,,Residential,699000 CAD,506 CHESAPEAKE Crescent 
