Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
3.0,1.0,1056.0,179900.0,4812 45 street ,AB,Prairie Provinces,55.06609355,-117.27099969119932,"4812, 45 Street, Valleyview, Town of Valleyview, Alberta, T0H 0C8, Canada"
2.0,1.0,484.0,169900.0,13039-66 street ,AB,Prairie Provinces,53.0103365,-112.8542604,"66 Street, Elizabeth Heights, Camrose, Alberta, T4V 4L4, Canada"
3.0,1.0,1051.0,179000.0,411 6 street nw ,AB,Prairie Provinces,51.0764884,-114.0774326,"6 Street NW, Mount Pleasant, Calgary, Alberta, T2M 2Z8, Canada"
3.0,2.0,1520.0,105000.0,7821 97 avenue ,AB,Prairie Provinces,55.16785900677967,-118.79708620508475,"7821, 97 Avenue, Central Business District, Grande Prairie, Grande Prairie (city), Alberta, T8V 6X3, Canada"
3.0,2.0,1260.0,109900.0,5802 fontaine drive ,AB,Prairie Provinces,54.4259267,-110.1989069,"Fontaine Drive, Cold Lake South, City of Cold Lake, Alberta, T9M 1R5, Canada"
3.0,2.0,712.0,199900.0,11825 70 st nw ,AB,Prairie Provinces,53.57100445666667,-113.44897693666668,"11825, 70 Street NW, Montrose, Greater Highlands, Avenue District, Edmonton, Edmonton (city), Alberta, T5B 1P1, Canada"
3.0,1.0,1328.0,169900.0,10131 104 avenue ,AB,Prairie Provinces,56.2292981,-117.2868166,"10131, 104 Avenue, South End, Peace River, Alberta, T8S 1P7, Canada"
3.0,1.0,1220.0,79000.0,4630  windsor ave. ,AB,Prairie Provinces,52.092414,-111.4444873,"Windsor Avenue, Coronation, Town of Coronation, Alberta, T0C 1C0, Canada"
2.0,1.0,525.0,35000.0,316 1st street ,AB,Prairie Provinces,51.1895954,-114.4685628,"1st Street, East End, Cochrane, Town of Cochrane, Alberta, T0L 0W0, Canada"
2.0,1.0,912.0,59000.0,106 railway avenue ,AB,Prairie Provinces,51.01522925,-113.54127284999998,"106, Railway Avenue, Cheadle, Wheatland County, Alberta, T1P 0X8, Canada"
3.0,2.0,81601.0,188000.0,5125 48 avenue ,AB,Prairie Provinces,52.675559625000005,-113.58236035,"5125, 48 Avenue, Ponoka, Alberta, T4J 1K2, Canada"
1.0,1.0,584.0,196000.0,#50 first ave ,AB,Prairie Provinces,52.8680915,-112.9478179,"First Avenue, New Norway, Camrose County, Alberta, Canada"
5.0,3.0,1912.0,195000.0,9907 98 street ,AB,Prairie Provinces,58.1841537,-116.3950935,"98 Street, La Crete, Mackenzie County, Alberta, T0H 2H0, Canada"
6.0,3.0,1050.0,175000.0,4719 47 avenue ,AB,Prairie Provinces,52.96627945714286,-113.36865097142856,"4719, 47 Avenue, City of Wetaskiwin, Wetaskiwin, Alberta, T9A 0J6, Canada"
1.0,1.0,790.0,179000.0,8912 - 156 street ,AB,Prairie Provinces,53.527806,-113.26068850242132,"156, Foxhaven Place, Foxhaven, Sherwood Park, Strathcona County, Alberta, T8A 5R7, Canada"
1.0,1.0,496.0,149900.0,1530 15 avenue sw ,AB,Prairie Provinces,51.03973235,-114.09637782616628,"1530, 15 Avenue SW, Sunalta, Lower Mount Royal, Calgary, Alberta, T3C 0X9, Canada"
2.0,1.0,76995.0,139000.0,5008 52 street ,AB,Prairie Provinces,52.32647025,-112.70855322436626,"5008, 52 Street, Stettler, Town of Stettler, Alberta, T0C 2L1, Canada"
2.0,1.0,1040.0,89000.0,5207-50th street ,AB,Prairie Provinces,53.5055156,-112.0494312,"50th Street, Vegreville, Town of Vegreville, Alberta, T9C 1L8, Canada"
2.0,1.0,636.0,115000.0,4718 51 avenue ,AB,Prairie Provinces,52.6408667,-114.2340721,"4718, 51 Avenue, Rimbey, Alberta, T0C 2J0, Canada"
2.0,1.0,792.0,25000.0,5019 50 avenue ,AB,Prairie Provinces,53.2646119,-113.5548129,"5019, 50 Avenue, City of Leduc, Alberta, T9E 6T3, Canada"
2.0,2.0,1344.0,74900.0,4710 windsor avenue ,AB,Prairie Provinces,52.092414,-111.4444873,"Windsor Avenue, Coronation, Town of Coronation, Alberta, T0C 1C0, Canada"
2.0,1.0,1015.0,129900.0,5302 48 street ,AB,Prairie Provinces,53.2817254,-110.0133205,"5302, 48 Street, City of Lloydminster, Lloydminster (city), Alberta, T9V 0L1, Canada"
2.0,2.0,1024.0,165000.0,5037 47 ave ,AB,Prairie Provinces,55.12364402059993,-118.77173972794324,"5037, 47 Avenue, County of Grande Prairie, Alberta, T8W 5A8, Canada"
4.0,2.0,1145.0,99500.0,"25 prince drive, lamont, alberta ",AB,Prairie Provinces,53.7626293,-112.7784937,"Prince Drive, Lamont, Town of Lamont, Alberta, T0B 2R0, Canada"
2.0,1.0,960.0,105000.0,5007a 47 street ,AB,Prairie Provinces,54.11788201,-114.39699387,"5007, 47 Street, Town of Barrhead, Barrhead, Alberta, T7N 1M1, Canada"
4.0,2.0,110116.0,189900.0,11 duke drive ,AB,Prairie Provinces,53.7643713,-112.7786281,"Duke Drive, Lamont, Town of Lamont, Alberta, T0B 2R0, Canada"
3.0,1.0,867.0,199800.0,821a balmoral street se ,AB,Prairie Provinces,50.0395256,-110.6594901,"Balmoral Street Southeast, Medicine Hat, Medicine Hat (city), Alberta, T1A 8T5, Canada"
2.0,2.0,807.0,129900.0,5228-47 street ,AB,Prairie Provinces,52.401118,-113.184726,"5228, 47 Street, Village of Alix, Alix, Alberta, T0C 0B0, Canada"
4.0,2.0,1120.0,174000.0,5008 50 avenue ,AB,Prairie Provinces,52.3260671,-112.7061768,"Over The Top Hydroponics, 5008, 50 Avenue, Stettler, Town of Stettler, Alberta, T0C 2L2, Canada"
2.0,2.0,485.0,197500.0,121 copperpond common se ,AB,Prairie Provinces,50.9242094,-113.9318582,"Copperpond Common SE, Copperfield, Calgary, Alberta, T2Z 5B6, Canada"
4.0,1.0,1440.0,68000.0,5124 48 street ,AB,Prairie Provinces,54.1212656,-114.399655,"5124, 48 Street, Town of Barrhead, Barrhead, Alberta, T7N 1M1, Canada"
