Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,2,1221,,Residential,337800 CAD,2571 12 Avenue SE 
2,2,1162,.026,Residential,364900 CAD,27 Bethel Drive 
5,3,1130,,Residential,348000 CAD,5536-51 AVE 
4,3,1335,0.15,Residential,385000 CAD,10329 83 Street 
2,2,1074,,Residential,379900 CAD,1441 23 Avenue SW 
4,3,1258,,Residential,311000 CAD,2218 - 24 Street 
4,3,1521,,Residential,399900 CAD,8220 - 187 Street 
3,2,1156,,Residential,309900 CAD,2022 4 Avenue 
5,3,1186,0.13,Residential,338200 CAD,382 McMaster Boulevard W 
4,1,1489,.109,Residential,399900 CAD,60 Millrise Close SW 
3,2,1744,.183,Residential,369000 CAD,5317 56 Street 
4,3,12863,,Residential,319900 CAD,5227 54 Ave 
4,2,,,Residential,308800 CAD,15619 84 ST NW 
3,2,1107,0.19,Residential,329900 CAD,11506 101 Street 
4,2,1144,0.13,Residential,312000 CAD,8201 96 Street 
3,1,963,,Residential,399999 CAD,4608 85 Street NW 
4,2,24994,,Residential,399900 CAD,5103 46 St 
3,2,1324,.066,Residential,375000 CAD,52 Prestwick Bay SE 
4,2,1137,,Residential,379000 CAD,13216 78 St NW 
3,3,1333,,Residential,390000 CAD,"229, 15249 Twp Rd 665A "
4,3,1200,,Residential,399900 CAD,101 Hillcrest Drive 
4,2,865,,Residential,339000 CAD,3427A Township Road 290A 
4,2,1379,3.29,Residential,389900 CAD,22268 Township Road 691 
3,2,1510,0.16,Residential,319900 CAD,17 6 Street NW 
4,4,1430,0.14,Residential,369000 CAD,9106 130 Avenue 
3,2,1267,,Residential,345000 CAD,179 Fairfax Drive 
3,2,1420,0.21,Residential,319900 CAD,138 16 Street N 
5,2,1524,,Residential,389000 CAD,217 Terra Nova Cres 
5,2,1090,0.08,Residential,385000 CAD,7426 Willow Drive 
4,3,1165,,Residential,394900 CAD,162 Mackay Crescent 
3,1,891,4.27,Residential,339000 CAD,20568 Highway 53 
3,2,1272,0.17,Residential,305000 CAD,5404 46 Street 
5,2,1135,,Residential,369900 CAD,11913 105 ST NW 
5,3,2129,0.29,Residential,370000 CAD,537 7 Street SE 
3,4,1440,,Residential,369900 CAD,5111-53 street lamont alberta 
4,3,1160,0.14,Residential,360000 CAD,10001 85 Street 
4,2,1662,0.27,Residential,312500 CAD,11118 91 Street 
2,2,1049,,Residential,357000 CAD,"100, 9804 102 Avenue, Plamondon, Alberta "
3,4,1664,0.14,Residential,379900 CAD,30 Duval Crescent 
3,1,1399,4.89,Residential,360000 CAD,#17 61112 hwy 855 
2,2,1421,,Residential,399988 CAD,1441 23 Aveue SW 
4,3,1070,0.11,Residential,384900 CAD,382 Fairmont Boulevard S 
4,2,1337,0.23,Residential,389000 CAD,22 Chinook Court SW 
5,2,1344,>0.2,Residential,315900 CAD,1498 5 Avenue NE 
3,3,1127,0.16,Residential,379900 CAD,62 Rundle Road SE 
4,2,1000,,Residential,349800 CAD,43 Calder Road SE 
3,3,1492,0.11,Residential,397499 CAD,410 Mt Sundance Landing W 
2,1,6886,,Residential,375000 CAD,730 5 Street NE 
,,1259,,Residential,305000 CAD,5725 48 STREET 
3,2,1374,,Residential,389700 CAD,321 Midtown Gate SW 
5,3,2160,0.03,Residential,350000 CAD,842012 Range Road 233 
5,3,1164,,Residential,369000 CAD,"9805, 100 Avenue "
3,2,1496,,Residential,380000 CAD,51102 - RR190 
,,,,Residential,325000 CAD,223 Tuscany Springs Blvd NW 
1,1,849,,Residential,358500 CAD,121 Quarry Way SE #304 
3,2,1477,,Residential,349900 CAD,89 Springwood Way 
5,2,1240,.154,Residential,398000 CAD,13325-107street 
,,,,Residential,375000 CAD,32 Range Road 282 
4,3,1320,0.27,Residential,339990 CAD,7701 94 Street 
4,2,1170,0.09,Residential,356900 CAD,31 Summerwood Road 
4,3,1160,0.13,Residential,306900 CAD,63 Ryerson Road W 
3,2,1219,,Residential,324000 CAD,1111 Evansridge Common NW 
4,2,1097,,Residential,325498 CAD,5602-49a street 
4,2,1175,0.12,Residential,339900 CAD,10119 105 Avenue 
4,2,1266,0.62,Other,379900 CAD,106 Braseth Beach 
3,2,1540,0.27,Residential,399000 CAD,9712 85 Avenue 
4,2,1260,,Residential,339000 CAD,664 Macewan Drive 
4,3,2105,,Residential,369900 CAD,13 Falcon Road 
4,3,1523,0.13,Residential,399900 CAD,237 Heritage Close W 
3,3,1363,,Residential,389900 CAD,3 Everridge Villas SW 
4,2,966,,Residential,369900 CAD,10 Sunnyside Place SE 
4,2,1232,g>10,Residential,344500 CAD,65424 Rng Rd 150 
3,2,1367,,Residential,389900 CAD,4130 Tompkins Way 
4,4,1915,,Residential,339000 CAD,4109 49 street 
4,2,1100,,Residential,374900 CAD,77 Erin Circle Close SE 
3,2,1059,,Residential,359900 CAD,145 Elgin Meadows View SE 
3,2,933,,Residential,344900 CAD,10008 109 st 
3,2,1700,,Residential,359900 CAD,172 Reed Place 
3,3,1086,,Residential,389900 CAD,40 Cranford Way 
5,3,1664,,Residential,399900 CAD,5132 53 Ave 
4,3,1189,,Residential,309000 CAD,4301 - 52 STREET 
3,2,1049,,Residential,369000 CAD,9325 180A Av NW 
5,3,1636,0.09,Residential,319000 CAD,11233 76 Avenue 
3,3,1367,,Residential,315000 CAD,38 301 Palisades Way 
4,2,887,,Residential,310000 CAD,8 Armit Crescent 
3,1,1019,,Residential,335000 CAD,36 Birch Road 
