Beds,Bath,Sqft,Lot_Size,Type,Price,Address
4,2,"2,337",1.04,Residential,"$399,000 CAD",1579 Cole Harbour Road 
5,3,"3,000",>593,Residential,"$1,295,000 CAD",1218 Lake Pleasant Rd 
2,1,"1,754",NaN,Residential,"$319,900 CAD",124 Main Street 
4,2,"2,336",NaN,Residential,"$329,900 CAD",33 William Street 
5,2,"3,500",.124,Residential,"$325,000 CAD",88-90 Main Street 
3,2,"1,008",>510,Farm,"$895,000 CAD",6471 No. 19 Highway 
1,1,582,>0.8,Residential,"$125,000 CAD",488 Cedarwood Lake Road 
8,7,"4,648",>100,Residential,"$850,000 CAD",473 Upper River John Road 
4,4,"2,923",>2.4,Residential,"$499,000 CAD",115 Beverlys Hill Road 
2,1,730,NaN,Residential,"$350,000 CAD",155 Ponhook Shore Road 
3,2,"2,252",NaN,Residential,"$229,000 CAD",29 Empire Loop 
3,1,"1,250",NaN,Residential,"$299,900 CAD",6663 Highway 3 
4,2,"2,000",2.47,Residential,"$1,500,000 CAD",76 Grove Street 
4,3,"1,590",1.69,Residential,"$199,900 CAD",2302 Hwy 1 
1,2,971,NaN,Residential,"$184,900 CAD",3729 Highway 3 
2,1,980,1.85,Residential,"$169,900 CAD",719 Cap la Ronde Road 
2,2,"1,650",NaN,Residential,"$599,000 CAD",2774 Highway 331 
3,2,"1,790",2.35,Residential,"$265,000 CAD",9629 Highway 1 Lower Saulnierville 
5,7,"4,177",NaN,Residential,"$1,150,000 CAD",1212 Woodville 
1,2,"1,180",NaN,Other,"$419,900 CAD",579 Shore Rd 
3,3,"1,488",NaN,Residential,"$599,900 CAD",8132 Highway 3 
4,5,"7,601",4.05,Residential,"$1,420,000 CAD",250 East Berlin Road 
3,1,"1,022",NaN,Residential,"$110,000 CAD",519 Highway 8 
1,2,"1,148",17.5,Residential,"$585,000 CAD",3735 West Bay Highway 
3,2,"1,881",NaN,Residential,"$274,900 CAD",949 Sandy Point Road 
4,3,"3,200",0.43,Residential,"$285,000 CAD",15 Lakeview Drive 
3,2,"1,307",NaN,Residential,"$199,000 CAD",2434 Highway 334 
3,1,"1,119",NaN,Residential,"$169,900 CAD",412 Conrad Road 
NaN,NaN,NaN,g>43,Residential,"$275,000 CAD",2780 Hwy 340 
2,2,804,NaN,Residential,"$309,900 CAD",12 - 56 Meek Arm Trail Way 
2,1,900,NaN,Residential,"$249,900 CAD",4371 Highway 357 
5,1,"2,190",g>26,Residential,"$349,900 CAD",6639 Upper Clyde Road 
3,2,"1,702",1.31,Residential,"$385,000 CAD",53  Jovite Road Saulnierville Station 
2,1,730,.567,Residential,"$350,000 CAD",155 Ponhook Shore Road 
5,3,"4,100",8.36,Residential,"$889,000 CAD",7594 221 Highway 
4,1,"2,135",.169,Residential,"$339,000 CAD",12 Dalkeith Drive 
3,1,"1,235",NaN,Residential,"$129,900 CAD",15 ROGERS Road 
4,1,"1,124",>130,Residential,"$299,000 CAD",3792 105 Highway 
4,2,"1,678",NaN,Residential,"$219,900 CAD",2289 Patrice Road 
5,3,"4,584",NaN,Residential,"$1,350,000 CAD",100 McGinnis 
4,3,"2,457",1.41,Residential,"$449,000 CAD",1649 Highway 10 
3,1,"1,652",NaN,Residential,"$349,900 CAD",46 Haughn's Road 
4,3,"3,300",NaN,Residential,"$1,250,000 CAD",7914 East Bay Highway 
5,2,"2,066",.513,Residential,"$375,000 CAD",112 Brooklyn Shore Road 
3,3,"1,839",NaN,Residential,"$750,000 CAD",55 Lake Shore Drive 
