Beds,Bath,Sqft,Price,Address,Province,Region,Latitude,Longitude,Location
3.0,2.0,1544.0,444400.0,cm-2c mckenzie lane ,NS,Atlantic region,,,NaN
3.0,2.0,1296.0,473500.0,6004 trunk 1 highway 14,NS,Atlantic region,,,NaN
3.0,4.0,2561.0,1552500.0,0 harbourside drive 41,NS,Atlantic region,,,NaN
3.0,2.0,1601.0,549900.0,lot 28 49 dewberry drive ,NS,Atlantic region,,,NaN
4.0,4.0,1883.0,585900.0,lot 10 fundy court ,NS,Atlantic region,,,NaN
3.0,4.0,1904.0,529900.0,lot 1226b 59 travertine court ,NS,Atlantic region,,,NaN
4.0,1.0,1700.0,289000.0,340 highway 7072,NS,Atlantic region,,,NaN
2.0,2.0,1168.0,223900.0,6 highway 1410,NS,Atlantic region,,,NaN
2.0,2.0,1716.0,398500.0,366 highway 9357,NS,Atlantic region,,,NaN
3.0,3.0,2505.0,294900.0,1981 antigonish guysborough road|st. andrew's ,NS,Atlantic region,,,NaN
4.0,1.0,911.0,79900.0,6 highway 2843,NS,Atlantic region,,,NaN
3.0,2.0,1296.0,269000.0,1253 hwy 252,NS,Atlantic region,,,NaN
4.0,1.0,1910.0,359000.0,140 bay side drive ,NS,Atlantic region,,,NaN
3.0,2.0,1296.0,469900.0,6004 trunk 1 highway 8,NS,Atlantic region,,,NaN
4.0,3.0,2300.0,659900.0,lot 02 128 sapling way lot 02,NS,Atlantic region,,,NaN
2.0,2.0,1061.0,398200.0,6004 trunk 1 highway 7,NS,Atlantic region,,,NaN
3.0,2.0,1544.0,399900.0,lot 24 langilles estates ,NS,Atlantic region,,,NaN
4.0,1.0,853.0,185000.0,8965 highway 3|pleasant lake ,NS,Atlantic region,,,NaN
2.0,2.0,972.0,428900.0,lot 4 peggys cove ,NS,Atlantic region,,,NaN
2.0,2.0,1334.0,499000.0,lot 15 saddle island road ,NS,Atlantic region,,,NaN
3.0,3.0,2464.0,719800.0,lot 21 267 sugarwood court ,NS,Atlantic region,,,NaN
2.0,2.0,912.0,499000.0,1860 new campbelltown road ,NS,Atlantic region,,,NaN
2.0,1.0,768.0,255000.0,197 cja road ,NS,Atlantic region,,,NaN
2.0,2.0,1900.0,485000.0,lot 3 147 across the meadow road lot 3,NS,Atlantic region,,,NaN
3.0,2.0,2018.0,279000.0,1 highway 475,NS,Atlantic region,,,NaN
3.0,1.0,1344.0,199000.0,311 highway 9483,NS,Atlantic region,,,NaN
9.0,9.0,3400.0,995000.0,1817 highway 205 baddeck ,NS,Atlantic region,,,NaN
3.0,3.0,2357.0,599900.0,lot 219a 87 sidhu drive lot 219a,NS,Atlantic region,,,NaN
2.0,2.0,1188.0,162000.0,77 grand greve road ,NS,Atlantic region,,,NaN
3.0,1.0,1211.0,259000.0,lot a 19194 highway 7 ,NS,Atlantic region,,,NaN
4.0,3.0,2300.0,659900.0,lot 02 128 sapling way ,NS,Atlantic region,,,NaN
5.0,2.0,2500.0,229000.0,308 highway 1865,NS,Atlantic region,,,NaN
3.0,3.0,2050.0,549900.0,lot 1 rumi lane ,NS,Atlantic region,,,NaN
5.0,6.0,8423.0,4500000.0,13 shepherds lane|ocean tree manor ,NS,Atlantic region,,,NaN
2.0,2.0,2852.0,629000.0,2011 eastern shore ,NS,Atlantic region,,,NaN
3.0,3.0,2050.0,549900.0,2d 448 winslow drive ,NS,Atlantic region,,,NaN
2.0,1.0,1064.0,389900.0,4261 west lake road ,NS,Atlantic region,,,NaN
4.0,1.0,1656.0,699900.0,260 boutilier settlement road ,NS,Atlantic region,,,NaN
3.0,2.0,1130.0,386900.0,lot 4 old guysborough road ,NS,Atlantic region,,,NaN
7.0,10.0,2100.0,850000.0,45478 cabot trail road st. ann's ,NS,Atlantic region,,,NaN
4.0,4.0,2670.0,799900.0,lot 21 11 angel court ,NS,Atlantic region,,,NaN
3.0,1.0,1692.0,375000.0,217 highway 11950,NS,Atlantic region,,,NaN
3.0,1.0,1200.0,179000.0,1112 hwy 395,NS,Atlantic region,,,NaN
2.0,2.0,1300.0,350000.0,unit11 beach view lane 5,NS,Atlantic region,,,NaN
3.0,2.0,1130.0,386900.0,lot 3 old guysborough road ,NS,Atlantic region,,,NaN
5.0,2.0,2108.0,99900.0,1 highway 3168,NS,Atlantic region,,,NaN
2.0,2.0,1158.0,300000.0,833 terence bay road|845 terence bay road ,NS,Atlantic region,,,NaN
2.0,1.0,696.0,124000.0,7590 st peters forchu road ,NS,Atlantic region,,,NaN
3.0,2.0,1545.0,748900.0,13 192 rockcliffe drive 13,NS,Atlantic region,,,NaN
2.0,2.0,1250.0,299000.0,2336 hwy 395,NS,Atlantic region,,,NaN
2.0,2.0,1088.0,119900.0,201 highway 4252,NS,Atlantic region,,,NaN
4.0,2.0,2649.0,799000.0,201 highway 3928,NS,Atlantic region,,,NaN
4.0,2.0,2192.0,450000.0,6 highway 4668,NS,Atlantic region,,,NaN
3.0,1.0,1295.0,159900.0,276 goshen highway|south lochaber 325,NS,Atlantic region,,,NaN
4.0,3.0,2042.0,494900.0,lot 8 cornerstone drive ,NS,Atlantic region,,,NaN
4.0,1.0,1415.0,144900.0,237 lower jordan branch road ,NS,Atlantic region,,,NaN
3.0,2.0,1864.0,750000.0,304 highway 1814,NS,Atlantic region,,,NaN
3.0,3.0,2464.0,824900.0,lot 3 prospect bay road ,NS,Atlantic region,,,NaN
3.0,2.0,1392.0,575000.0,35 ballams point lane ,NS,Atlantic region,,,NaN
2.0,1.0,1178.0,99900.0,"6630 hyw #3, jordan falls 3",NS,Atlantic region,,,NaN
3.0,3.0,2750.0,629900.0,lot 03 102 sapling way ,NS,Atlantic region,,,NaN
3.0,2.0,1504.0,459500.0,24 waterview road ,NS,Atlantic region,,,NaN
3.0,2.0,1664.0,399900.0,lot 53c lakeland street ,NS,Atlantic region,,,NaN
4.0,3.0,2075.0,499900.0,lot 1 christies road ,NS,Atlantic region,,,NaN
5.0,4.0,4540.0,1695000.0,lot 66 1298 shore drive lot 66,NS,Atlantic region,,,NaN
2.0,2.0,1387.0,439000.0,lot 1 10517 highway 7 ,NS,Atlantic region,,,NaN
2.0,2.0,1224.0,289900.0,559 taylors road|pomquet ,NS,Atlantic region,,,NaN
3.0,3.0,1594.0,519900.0,lot 14 cornerstone drive ,NS,Atlantic region,,,NaN
3.0,3.0,1296.0,485000.0,lot 61 winburn avenue ,NS,Atlantic region,,,NaN
5.0,2.0,1968.0,255000.0,22 grand street|yarmouth ns ,NS,Atlantic region,,,NaN
2.0,2.0,987.0,550000.0,49070 cabot trail road st ann's ,NS,Atlantic region,,,NaN
3.0,2.0,1585.0,638900.0,10 164 rockcliffe drive 10,NS,Atlantic region,,,NaN
3.0,2.0,1706.0,689900.0,lot 2 sugarwood court ,NS,Atlantic region,,,NaN
3.0,1.0,1384.0,299000.0,205 highway 1327,NS,Atlantic region,,,NaN
3.0,2.0,1130.0,386900.0,lot 7 old guysborough road ,NS,Atlantic region,,,NaN
2.0,1.0,1199.0,325000.0,359 highway 3915,NS,Atlantic region,,,NaN
3.0,3.0,1885.0,275000.0,1 highway 8363,NS,Atlantic region,,,NaN
3.0,3.0,2255.0,687400.0,lot 291 877 mccabe lake drive ,NS,Atlantic region,,,NaN
5.0,1.0,1260.0,275000.0,lot 2b 1934 east maragaree road lot 2b,NS,Atlantic region,,,NaN
3.0,3.0,3533.0,681900.0,lot 212a 181 sidhu drive lot 212a,NS,Atlantic region,,,NaN
