Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
,,,,Residential,49900,Garden Shore Rd and Sunset Cre. West Cove Head ,PE,Atlantic region
5.0,2.0,5286.0,3.98,Residential,499000,32 Fox Run Lane ,PE,Atlantic region
5.0,1.0,,1.33,Residential,444000,430 Lower Montague Rd ,PE,Atlantic region
2.0,2.0,,>0.1,Residential,349000,5 Mill Street ,PE,Atlantic region
3.0,1.0,1060.0,1.84,Residential,239900,394 Bedeque Rink Road ,PE,Atlantic region
,,1646.0,ng>3,Other,349000,4153 Cape Bear Road ,PE,Atlantic region
4.0,2.0,2809.0,>0.2,Residential,789900,93 Nash Drive ,PE,Atlantic region
5.0,2.0,2450.0,,Residential,329000,9 Palmers Lane ,PE,Atlantic region
3.0,2.0,3100.0,0.75,Residential,795000,15 Bridle Path ,PE,Atlantic region
2.0,1.0,957.0,>0.4,Residential,279900,258 Shakespeare Drive ,PE,Atlantic region
3.0,1.0,1092.0,ng>1,Residential,334900,54 Allan Cook Lane ,PE,Atlantic region
3.0,2.0,1997.0,g>75,Residential,359000,1323 Brooklyn Rd ,PE,Atlantic region
2.0,1.0,960.0,0.27,Residential,189900,17565 Route 2 ,PE,Atlantic region
3.0,2.0,784.0,ng>2,Residential,399900,4391 Cape Bear Rd ,PE,Atlantic region
5.0,2.0,1738.0,0.21,Residential,349900,145 Victoria Road ,PE,Atlantic region
3.0,1.0,1116.0,ng>1,Residential,329900,55 Allan Cook Lane ,PE,Atlantic region
4.0,2.0,1920.0,>0.3,Residential,429900,53 Millennium Drive ,PE,Atlantic region
2.0,1.0,791.0,>0.4,Other,119900,114 MacPherson Lane ,PE,Atlantic region
2.0,2.0,1500.0,,Residential,539000,"South Beach Lane, Lot 25 ",PE,Atlantic region
2.0,1.0,948.0,>0.3,Residential,325000,20 Shoreline Rd ,PE,Atlantic region
4.0,2.0,2560.0,1.67,Residential,619000,3182 West River Road ,PE,Atlantic region
3.0,1.0,1008.0,>0.4,Residential,349900,67 Bearisto Dr ,PE,Atlantic region
3.0,2.0,2352.0,>0.3,Residential,374900,12 Westview Drive ,PE,Atlantic region
,,,>3.5,Residential,1040000,Lot Kingston Rd ,PE,Atlantic region
3.0,1.0,560.0,0.46,Residential,198000,10 Beach Road ,PE,Atlantic region
,,,,Residential,30000,5 Hopeton Road ,PE,Atlantic region
4.0,2.0,1077.0,0.11,Residential,298500,7398 TCH ,PE,Atlantic region
3.0,2.0,1600.0,>0.2,Residential,514800,28 Keaton Drive ,PE,Atlantic region
,,,,Residential,449000,258 Line Road ,PE,Atlantic region
2.0,2.0,1260.0,,Residential,589000,51-53 Horseshoe Blvd ,PE,Atlantic region
3.0,2.0,1556.0,0.38,Residential,365000,93 Oak Dr ,PE,Atlantic region
3.0,1.0,2285.0,>2.7,Residential,369900,908 Union Road ,PE,Atlantic region
2.0,1.0,1100.0,,Residential,299900,35 Spring St ,PE,Atlantic region
4.0,3.0,4000.0,0.37,Residential,1499000,143 Lantern Hill Drive ,PE,Atlantic region
4.0,1.0,1365.0,0.12,Residential,299900,14 Spring Park Road ,PE,Atlantic region
4.0,1.0,1039.0,1.38,Residential,199500,1202 Green meadows Rd ,PE,Atlantic region
3.0,2.0,1309.0,,Residential,359000,105 Mercedes Drive ,PE,Atlantic region
3.0,2.0,1876.0,>0.9,Residential,719000,2510 New Glasgow Road ,PE,Atlantic region
,,,,Residential,128750,102 River Road ,PE,Atlantic region
5.0,2.0,1697.0,g>21,Residential,749900,289 Brudenell Point Rd ,PE,Atlantic region
5.0,2.0,3484.0,1.14,Farm,5250000,1242 / 1246 Kingston Rd ,PE,Atlantic region
,,,ng>3,Residential,32000,Mt Stewart Rd ,PE,Atlantic region
2.0,1.0,768.0,,Other,115000,Burlington Rd - to be moved ,PE,Atlantic region
3.0,2.0,1536.0,,Residential,385000,25 MacKenzie Road ,PE,Atlantic region
2.0,1.0,10569.0,>0.4,Other,200000,135 Graham Head Rd ,PE,Atlantic region
,,,>0.5,Residential,47400,Gallant Lane - Lot #6 ,PE,Atlantic region
2.0,1.0,1170.0,g>12,Residential,345000,3492 Rte 3 ,PE,Atlantic region
3.0,2.0,2200.0,0.34,Residential,549000,63 Hidden Dunes Lane ,PE,Atlantic region
