Beds,Bath,Sqft,Lot_Size,Type,Price,Address
2,1,730,NaN,Residential,"$350,000 CAD",155 Ponhook Shore Road 
2,2,922,NaN,Residential,"$159,000 CAD",22 Mann Avenue 
4,2,"1,745",NaN,Residential,"$499,900 CAD",51 Old Trunk Road 
4,3,"2,052",NaN,Residential,"$375,000 CAD",1166 Chebogue Road 
3,1,"1,232",NaN,Residential,"$295,000 CAD",119 Courthouse Road 
3,2,"1,525",>2.6,Residential,"$329,900 CAD",154 Highway 334 
4,2,"2,000",2.47,Residential,"$1,500,000 CAD",76 Grove Street 
2,2,800,.709,Residential,"$199,900 CAD",106 Cochrane Road 
3,1,"2,400",NaN,Residential,"$329,000 CAD",83 Terra Nova Road 
3,1,"1,300",NaN,Residential,"$249,900 CAD",319 POPLAR DRIVE 
4,2,"1,708",ng>1,Residential,"$299,000 CAD",10 Grant Road 
4,1,"2,063",NaN,Farm,"$349,900 CAD",40 Carter Road 
2,2,"2,380",.459,Residential,"$279,900 CAD","36 Harbourview Drive, Port Bickerton "
4,5,"7,601",4.05,Residential,"$1,420,000 CAD",250 East Berlin Road 
5,2,"2,721",>160,Farm,"$690,000 CAD",2591 Clarence Road 
4,3,"3,451",NaN,Residential,"$829,000 CAD",65 Howe Street 
3,4,"1,518",NaN,Residential,"$449,000 CAD",7 Black Cherry Lane 
5,3,"4,100",8.36,Residential,"$889,000 CAD",7594 221 Highway 
3,2,"1,812",NaN,Residential,"$409,000 CAD",3684 Highway 331 
4,4,"2,923",>2.4,Residential,"$499,000 CAD",115 Beverlys Hill Road 
NaN,NaN,NaN,ng>1,Residential,"$69,000 CAD","62 Lake Doucette  Road, Lake Doucette "
2,2,896,NaN,Residential,"$84,900 CAD",15 Shady Lane 
3,4,"2,906",NaN,Residential,"$449,900 CAD",1180 Saunders Road 
4,3,"2,710",NaN,Residential,"$849,900 CAD",35 Angel Court 
1,1,"1,084",NaN,Residential,"$149,000 CAD",1336 HIGHWAY 308 
3,2,"1,196",NaN,Residential,"$139,900 CAD",208 Little Forks Road 
1,1,"1,247",.321,Residential,"$235,000 CAD",160 Henry Hensey Drive 
NaN,NaN,NaN,g>16,Residential,"$59,900 CAD",HWY 8 & Fisher Lake Rd 
4,2,"2,010",NaN,Residential,"$350,000 CAD",130 Taranaki Drive 
4,2,"2,016",NaN,Residential,"$439,900 CAD",502 Willow Street 
3,3,"2,824",2.97,Residential,"$618,000 CAD",911 LAKESIDE Road 
3,1,"1,152",NaN,Residential,"$198,500 CAD",98 Lakeside Drive 
NaN,NaN,NaN,ng>5,Residential,"$54,900 CAD",Lot 22 Fisher Lake Road 
6,2,"2,664",3.09,Residential,"$289,900 CAD",66 242 Highway 
5,4,"2,360",NaN,Residential,"$239,000 CAD",603 Church Street 
4,3,"4,036",4.02,Residential,"$679,000 CAD",4230 Marble Mountain Road 
